id;sigla;nome;pais_id
11;RO;Rondônia;76
12;AC;Acre;76
13;AM;Amazonas;76
14;RR;Roraima;76
15;PA;Pará;76
16;AP;Amapá;76
17;TO;Tocantins;76
21;MA;Maranhão;76
22;PI;Piauí;76
23;CE;Ceará;76
24;RN;Rio Grande do Norte;76
25;PB;Paraíba;76
26;PE;Pernambuco;76
27;AL;Alagoas;76
28;SE;Sergipe;76
29;BA;Bahia;76
31;MG;Minas Gerais;76
32;ES;Espírito Santo;76
33;RJ;Rio de Janeiro;76
35;SP;São Paulo;76
41;PR;Paraná;76
42;SC;Santa Catarina;76
43;RS;Rio Grande do Sul;76
50;MS;Mato Grosso do Sul;76
51;MT;Mato Grosso;76
52;GO;Goiás;76
53;DF;Distrito Federal;76
54;NI;Não Informado;32
55;NI;Não Informado;36
56;NI;Não Informado;40
57;NI;Não Informado;68
58;NI;Não Informado;152
59;NI;Não Informado;156
60;NI;Não Informado;188
61;NI;Não Informado;196
62;NI;Não Informado;226
63;NI;Não Informado;250
64;NI;Não Informado;276
65;NI;Não Informado;380
66;NI;Não Informado;392
67;NI;Não Informado;484
68;NI;Não Informado;504
69;NI;Não Informado;554
70;NI;Não Informado;600
71;NI;Não Informado;604
72;NI;Não Informado;620
73;NI;Não Informado;643
74;NI;Não Informado;724
75;NI;Não Informado;756
76;NI;Não Informado;840
77;NI;Não Informado;858
78;NI;Não Informado;862
