CODIGO,CIDADE,ESTADO
1,NI,PR
2,NI,PR
3,NI,PR
4,NI,PR
5,NI,PR
6,NI,PR
7,NI,PR
8,NI,PR
9,NI,SC
10,NI,PR
11,NI,SC
12,NI,PR
13,NI,PR
14,NI,GO
15,NI,PR
16,NI,GO
17,NI,PR
18,NI,GO
19,NI,PR
20,NI,PR
21,NI,PR
22,NI,PR
23,NI,PR
24,NI,PR
25,NI,PR
75,NI,PR
27,NI,PR
28,NI,PR
29,NI,GO
30,NI,MA
31,NI,MG
32,NI,MG
33,NI,GO
34,NI,GO
35,NI,GO
36,NI,PR
37,NI,BA
38,NI,PR
39,NI,PR
40,NI,PR
41,NI,PR
42,NI,PR
43,NI,PR
44,NI,PR
45,NI,PR
46,NI,PR
47,NI,PR
48,NI,PR
49,NI,PR
50,NI,PR
51,NI,PR
52,NI,PR
53,NI,PR
54,NI,PR
55,NI,PR
56,NI,PR
57,NI,PR
58,NI,DF
59,NI,PR
60,NI,PR
61,NI,SC
62,NI,PR
63,NI,PR
64,NI,PR
65,NI,PR
66,NI,PR
67,NI,PR
68,NI,MG
69,NI,PR
70,NI,PR
71,NI,PR
72,NI,PR
73,NI,PR
74,NI,PR
76,NI,RS
77,NI,RS
78,NI,RS
79,NI,SC
80,NI,SC
81,NI,PR
82,NI,SP
83,NI,SP
84,NI,PR
85,NI,PR
86,NI,DF
87,NI,GO
88,NI,DF
89,NI,GO
90,NI,MS
91,NI,PR
92,NI,PR
93,NI,PR
94,NI,PR
95,NI,PR
96,NI,PR
97,NI,PR
98,NI,PR
99,NI,GO
100,NI,PR
101,NI,PR
102,NI,PR
103,NI,PR
104,NI,PR
105,NI,PR
106,NI,PR
107,NI,PR
108,NI,PR
109,NI,PR
110,NI,PR
111,NI,PR
112,NI,PR
113,NI,PR
114,NI,PR
115,NI,PR
116,NI,PA
117,NI,PR
118,NI,PR
119,NI,PR
120,NI,PR
121,NI,PR
122,NI,PR
123,NI,MI
124,NI,PR
125,NI,PR
126,NI,PR
127,NI,PR
128,NI,PR
129,NI,PR
130,NI,PR
131,NI,PR
132,NI,PR
133,NI,SC
134,NI,PR
135,NI,PR
136,NI,PR
137,NI,PR
138,NI,PR
139,NI,PR
140,NI,SC
141,NI,PR
142,NI,PR
143,NI,PR
144,NI,PR
145,NI,PR
146,NI,PR
147,NI,PR
148,NI,PR
149,NI,PR
150,NI,PR
151,NI,PR
152,NI,PR
153,NI,PR
154,NI,PR
155,NI,PR
156,NI,PR
157,NI,PR
158,NI,PR
159,NI,PR
160,NI,MS
161,NI,PR
162,NI,PR
163,NI,PR
164,NI,PR
165,NI,PR
166,NI,PR
167,NI,PR
168,NI,PR
169,NI,PR
170,NI,PR
171,NI,PR
172,NI,PR
173,NI,PR
175,NI,PR
176,NI,PR
177,NI,PR
253,NI,PR
179,NI,PR
180,NI,GO
181,NI,PR
182,NI,PR
183,NI,PR
184,NI,MG
185,NI,DF
186,NI,DF
187,NI,PR
188,NI,PR
189,NI,PR
190,NI,MG
191,NI,MG
192,NI,SP
193,NI,TO
194,NI,PR
195,NI,PR
196,NI,PR
197,NI,BA
198,NI,PR
199,NI,PR
200,NI,PR
201,NI,PR
202,NI,PR
203,NI,PR
204,NI,PR
205,NI,PR
206,NI,PR
207,NI,MS
208,NI,PR
209,NI,PR
210,NI,SP
211,NI,PR
212,NI,PR
213,NI,PR
214,NI,PR
215,NI,PR
216,NI,PR
217,NI,PR
218,NI,PR
219,NI,PR
220,NI,SC
221,NI,PR
222,NI,PR
223,NI,PR
224,NI,PR
225,NI,BA
226,NI,PR
227,NI,PR
228,NI,PR
229,NI,PR
230,NI,PR
231,NI,PR
232,NI,PR
233,NI,PR
234,NI,PR
235,NI,PR
236,NI,PR
237,NI,PR
238,NI,PR
239,NI,PR
240,NI,PR
241,NI,PR
242,NI,PR
243,NI,PR
244,NI,PR
245,NI,TO
246,NI,PR
247,NI,PR
248,NI,PR
249,NI,GO
250,NI,PR
251,NI,PR
252,NI,PR
254,NI,GO
255,NI,PR
256,NI,PR
257,NI,PR
258,NI,PR
259,NI,PR
260,NI,PR
261,NI,PR
262,NI,PR
263,NI,GO
264,NI,PR
265,NI,PR
266,NI,PR
267,NI,MS
268,NI,PR
269,NI,MS
270,NI,PR
271,NI,SP
272,NI,SC
273,NI,GO
274,NI,GO
275,NI,RS
276,NI,GO
277,NI,PR
278,NI,PR
279,NI,SP
280,NI,GO
281,NI,GO
282,NI,PR
481,NI,PR
284,NI,PR
285,NI,PR
286,NI,PA
287,NI,PR
288,NI,PR
289,NI,PR
290,NI,PR
291,NI,MG
292,NI,PR
293,NI,PR
294,NI,PR
295,NI,PR
296,NI,PR
297,NI,PR
298,NI,PR
299,NI,GO
300,NI,GO
301,NI,GO
302,NI,PR
303,NI,PR
304,NI,DF
305,NI,MG
306,NI,PR
307,NI,MG
308,NI,GO
309,NI,GO
310,NI,SC
311,NI,PR
312,NI,GO
313,NI,PR
314,NI,PR
315,NI,PR
316,NI,SC
317,NI,PR
318,NI,PR
319,NI,PR
321,NI,MS
322,NI,PR
323,NI,PR
324,NI,PR
325,NI,MG
326,NI,PR
327,NI,PR
328,NI,PR
329,NI,MG
330,NI,PR
331,NI,PR
332,NI,PR
333,NI,PR
334,NI,PR
335,NI,PR
336,NI,PR
337,NI,PR
338,NI,SC
339,NI,PR
340,NI,PR
341,NI,PR
342,NI,MG
343,NI,PR
344,NI,PR
345,NI,ES
346,NI,PR
347,NI,PR
348,NI,PR
349,NI,PR
350,NI,PR
351,NI,PR
352,NI,PR
353,NI,SP
354,NI,MS
355,NI,PR
356,NI,SP
357,NI,PR
358,NI,PR
359,NI,PR
360,NI,MS
361,NI,BA
362,NI,PR
363,NI,BA
364,NI,MG
365,NI,PR
366,NI,SC
367,NI,PR
368,NI,PR
369,NI,PR
370,NI,PR
371,NI,PR
372,NI,PR
373,NI,PR
374,NI,PR
375,NI,MS
376,NI,MG
377,NI,PR
378,NI,PR
379,NI,PR
380,NI,PR
381,NI,BA
382,NI,PR
383,NI,BA
384,NI,GO
385,NI,BA
386,NI,PR
387,NI,MG
388,NI,SC
389,NI,PR
390,NI,PR
391,NI,PR
392,NI,PR
393,NI,PR
394,NI,MG
395,NI,MS
396,NI,PR
397,NI,PR
398,NI,PR
399,NI,SC
400,NI,SC
401,NI,PR
402,NI,SC
403,NI,PR
404,NI,SC
405,NI,SC
406,NI,SC
407,NI,SC
408,NI,PR
409,NI,PR
410,NI,PR
411,NI,SC
412,NI,PR
413,NI,MS
414,NI,PR
415,NI,PR
416,NI,PR
417,NI,BA
418,NI,GO
419,NI,PR
420,NI,PR
421,NI,SC
422,NI,SC
423,NI,BA
424,NI,PR
425,NI,PR
426,NI,SC
427,NI,TO
428,NI,PR
429,NI,PR
430,NI,PR
431,NI,PR
432,NI,PR
433,NI,PR
434,NI,PR
435,NI,PR
436,NI,GO
437,NI,PR
438,NI,PR
439,NI,PR
440,NI,DF
441,NI,DF
442,NI,GO
443,NI,GO
444,NI,PR
445,NI,GO
446,NI,PR
447,NI,PR
448,NI,PR
449,NI,PR
450,NI,PR
451,NI,PR
452,NI,PR
453,NI,PR
454,NI,SP
455,NI,PR
482,NI,PR
457,NI,PR
458,NI,SC
459,NI,SC
460,NI,PR
461,NI,PR
462,NI,PR
463,NI,MG
464,NI,PR
465,NI,MS
466,NI,PR
467,NI,PR
468,NI,GO
469,NI,MS
470,NI,PR
471,NI,DF
472,NI,PR
473,NI,MS
474,NI,PR
475,NI,PA
476,NI,PR
477,NI,PR
478,NI,PR
479,NI,PR
483,NI,PR
480,NI,GO
484,NI,SP
485,NI,PR
486,NI,PR
487,NI,PR
488,NI,PR
489,NI,PR
490,NI,GO
491,NI,PR
492,NI,PR
493,NI,PR
494,NI,GO
495,NI,BA
496,NI,PR
497,NI,PR
498,NI,PR
499,NI,PR
500,NI,PR
501,NI,PR
502,NI,PR
503,NI,PR
504,NI,PR
505,NI,PR
506,NI,PR
507,NI,PR
508,NI,MS
509,NI,PR
510,NI,SC
511,NI,PR
512,NI,PR
513,NI,PR
514,NI,PR
515,NI,BA
516,NI,RS
517,NI,SC
518,NI,PR
519,NI,ES
520,NI,MS
521,NI,MS
522,NI,PR
523,NI,PR
524,NI,SC
525,NI,
526,NI,PR
527,NI,MS
528,NI,PR
529,NI,GO
530,NI,MS
531,NI,SC
532,NI,MS
533,NI,SC
534,NI,MS
535,NI,PR
536,NI,PR
537,NI,MS
538,NI,PR
539,NI,PR
540,NI,PR
541,NI,MS
542,NI,PR
543,NI,GO
544,NI,PR
545,NI,SC
546,NI,PR
547,NI,PR
548,NI,TO
549,NI,PR
550,NI,SP
551,NI,PR
552,NI,PR
553,NI,PR
554,NI,PR
555,NI,GO
556,NI,MG
557,NI,GO
558,NI,GO
559,NI,MG
560,NI,PR
561,NI,MS
562,NI,MS
563,NI,MS
564,NI,MS
565,NI,MS
566,NI,GO
567,NI,PR
568,NI,PR
569,NI,PR
570,NI,PR
571,NI,PR
572,NI,PR
573,NI,PR
574,NI,PR
575,NI,SC
576,NI,PR
577,NI,MG
578,NI,MS
579,NI,MS
580,NI,MS
581,NI,MS
582,NI,PR
586,NI,MS
584,NI,GO
587,NI,GO
588,NI,GO
589,NI,PR
585,NI,PR
590,NI,PR
591,NI,MS
592,NI,MT
593,NI,MT
594,NI,MT
595,NI,MT
596,NI,MT
597,NI,MS
598,NI,MT
599,NI,MS
600,NI,MT
601,NI,MT
602,NI,MT
607,NI,MT
603,NI,MT
604,NI,MT
605,NI,MT
606,NI,MT
608,NI,MT
609,NI,MT
610,NI,MT
611,NI,MS
612,NI,MT
613,NI,MT
614,NI,MT
615,NI,MT
616,NI,MT
617,NI,MT
618,NI,MT
619,NI,MS
620,NI,MT
621,NI,MT
622,NI,PR
623,NI,PR
624,NI,PR
625,NI,PR
626,NI,PR
627,NI,PR
628,NI,PR
629,NI,MG
630,NI,PR
631,NI,PR
632,NI,MS
633,NI,PR
634,NI,GO
635,NI,GO
636,NI,PR
637,NI,PR
638,NI,PR
639,NI,SC
640,NI,PR
641,NI,PR
642,NI,PR
643,NI,PR
644,NI,PR
645,NI,PR
646,NI,PR
647,NI,PR
648,NI,BA
649,NI,PR
650,NI,PR
651,NI,PR
652,NI,BA
653,NI,PR
654,NI,PR
655,NI,PR
656,NI,PR
657,NI,BA
658,NI,PR
659,NI,PR
660,NI,PR
661,NI,MG
663,NI,MG
662,NI,MG
664,NI,MG
665,NI,PR
666,NI,PR
667,NI,PR
668,NI,PR
669,NI,PR
670,NI,GO
671,NI,PR
672,NI,PR
673,NI,PR
674,NI,PR
675,NI,PR
676,NI,PR
677,NI,GO
678,NI,TO
679,NI,BA
680,NI,PR
681,NI,PR
682,NI,GO
683,NI,BA
684,NI,BA
685,NI,PR
686,NI,PR
687,NI,PR
688,NI,GO
689,NI,GO
690,NI,MG
691,NI,GO
692,NI,GO
693,NI,GO
694,NI,GO
695,NI,PR
696,NI,PR
697,NI,PR
698,NI,PR
699,NI,PR
700,NI,PR
701,NI,PR
702,NI,PR
703,NI,MG
704,NI,PR
705,NI,MS
706,NI,PR
707,NI,PR
708,NI,PR
709,NI,PR
710,NI,PR
711,NI,PR
712,NI,PR
713,NI,PR
714,NI,PR
715,NI,PR
716,NI,SC
717,NI,PR
718,NI,PR
719,NI,MG
720,NI,GO
721,NI,PR
722,NI,BA
723,NI,GO
724,NI,PR
725,NI,PR
726,NI,PR
727,NI,MS
728,NI,SC
729,NI,PR
730,NI,PR
731,NI,PR
732,NI,PR
733,NI,SC
734,NI,PR
735,NI,PR
736,NI,PR
737,NI,PR
738,NI,PR
739,NI,PR
740,NI,GO
741,NI,PR
742,NI,PR
743,NI,PR
744,NI,PR
745,NI,PR
746,NI,PR
747,NI,PR
748,NI,PR
749,NI,PR
750,NI,PR
751,NI,PR
752,NI,PR
753,NI,PR
754,NI,PR
755,NI,PR
756,NI,PR
757,NI,SC
758,NI,SC
759,NI,SC
760,NI,SC
761,NI,SC
762,NI,SC
763,NI,PR
764,NI,SC
765,NI,PR
766,NI,SC
767,NI,PR
768,NI,PR
769,NI,SP
770,NI,ES
771,NI,PR
772,NI,PR
773,NI,PR
774,NI,PR
775,NI,PR
776,NI,MG
777,NI,PR
778,NI,PR
779,NI,PR
780,NI,PR
781,NI,PR
782,NI,PR
783,NI,PR
784,NI,PR
785,NI,PR
786,NI,PR
787,NI,PR
788,NI,SP
789,NI,PR
790,NI,PR
791,NI,PR
792,NI,PR
793,NI,PR
794,NI,PR
795,NI,PR
796,NI,PR
797,NI,PR
798,NI,PR
799,NI,PR
800,NI,PR
801,NI,PR
802,NI,PR
803,NI,PR
804,NI,MS
805,NI,MS
806,NI,MS
807,NI,MS
808,NI,MS
809,NI,MS
810,NI,MS
811,NI,MS
812,NI,MS
813,NI,MS
814,NI,MS
815,NI,MS
816,NI,MS
817,NI,MS
818,NI,MS
819,NI,MS
820,NI,MS
821,NI,MS
822,NI,MS
823,NI,MS
824,NI,MS
825,NI,MS
826,NI,MS
827,NI,MS
828,NI,MS
829,NI,MS
830,NI,MS
831,NI,MS
832,NI,MS
833,NI,MS
834,NI,MS
835,NI,MS
836,NI,MS
837,NI,MS
838,NI,MS
839,NI,MS
840,NI,MS
841,NI,MS
842,NI,MS
843,NI,MS
844,NI,PR
845,NI,MS
846,NI,MS
847,NI,MS
848,NI,MS
849,NI,MS
850,NI,MS
851,NI,MS
852,NI,MS
853,NI,MS
854,NI,MS
855,NI,MS
856,NI,MS
857,NI,MS
858,NI,MS
859,NI,MS
860,NI,MS
861,NI,MS
862,NI,MS
863,NI,MS
864,NI,MS
865,NI,MS
866,NI,MS
867,NI,MS
868,NI,MS
869,NI,MS
870,NI,MS
871,NI,MS
872,NI,MS
873,NI,MS
874,NI,MS
875,NI,MS
876,NI,MS
877,NI,MS
878,NI,MS
879,NI,MS
880,NI,MS
881,NI,MS
882,NI,MS
883,NI,PR
884,NI,PR
885,NI,PR
886,NI,MS
887,NI,MS
888,NI,MS
889,NI,PR
890,NI,PR
891,NI,PR
892,NI,PR
893,NI,PR
894,NI,PR
895,NI,PR
896,NI,PR
897,NI,PR
898,NI,PR
899,NI,PR
900,NI,PR
901,NI,PR
902,NI,TO
903,NI,PR
904,NI,PR
905,NI,PR
906,NI,PR
907,NI,PR
908,NI,MS
909,NI,PR
910,NI,PR
911,NI,PR
912,NI,PR
913,NI,PR
914,NI,PR
915,NI,PR
916,NI,RS
917,NI,ES
918,NI,MG
919,NI,SC
920,NI,MS
921,NI,ES
922,NI,PR
923,NI,SC
924,NI,SC
925,NI,SC
926,NI,MS
927,NI,PR
928,NI,PR
929,NI,MS
930,NI,MS
931,NI,PR
932,NI,PR
933,NI,PR
934,NI,MG
935,NI,PR
936,NI,PR
937,NI,PR
938,NI,MS
939,NI,MS
940,NI,PR
941,NI,PR
942,NI,PR
943,NI,MG
944,NI,PR
945,NI,PR
946,NI,BA
947,NI,PR
948,NI,PR
949,NI,BA
950,NI,PR
951,NI,PR
952,NI,PR
953,NI,MS
954,NI,SC
955,NI,BA
