hcf | complementares
1 | & M. Faria
2 | & L.T. Trassi
3 | & M. Faria
4 | et al.
5 | et al.
7 | et al.
8 | ; G.R. Silva: S. Vieira & M.Montanha
9 | & A.M. Fernandes
11 | et al.
13 | et al.
37 | et al.
187 | ,
1684 | et al.
1685 | et al.
1686 | et al.
1687 | et al.
1688 | et al.
1689 | et al.
1690 | et al.
1691 | et al.
1692 | ; F.C.A. Oliveira & E. Cardoso
1693 | ; F.C.A. Oliveira & E. Cardoso
1694 | et al.
1695 | et al.
1697 | et al.
1698 | et al.
1699 | et al.
1700 | et al.
1701 | et al.
1702 | et al.
1703 | et al.
1704 | et al.
1705 | et al.
1706 | et al.
1707 | ; F.C.A. Oliveira & E. Cardoso
1708 | et al.
1709 | ; R.C. Mendonça; F.C.A. Oliveira & E. Cardoso
1710 | et al.
1711 | et al.
1712 | et al.
1713 | et al.
1714 | et al.
1715 | et al.
1716 | ; R.C. Mendonça; F.C.A. Oliveira & E. Cardoso
1717 | et al.
1718 | et al.
1720 | et al.
1721 | & O. Morrone
1722 | et al.
1723 | et al.
1724 | et al.
1725 | et al.
1726 | et al.
1727 | et al.
1728 | et al.
1729 | et al.
1730 | et al.
1731 | et al.
1732 | et al.
1737 | et al.
1739 | et al.
1740 | et al.
1741 | et al.
1742 | et al.
1743 | et al.
1744 | et al.
1745 | et al.
1746 | et al.
1747 | et al.
1748 | & D. Alvarenga
1750 | et al.
1754 | et al.
1755 | et al.
1756 | et al.
1757 | et al.
1758 | et al.
1759 | et al.
1760 | et al.
1761 | et al.
1762 | et al.
1763 | ; F.C.A. Oliveira & E. Cardoso
1764 | ; F.C.A. Oliveira & E. Cardoso
1765 | et al.
1766 | ; F.C.A. Oliveira & E. Cardoso
1767 | et al.
1768 | et al.
1769 | et al.
1802 | & V.C. Mendes
1803 | ; M.C. Silva & V.C. Mendes
1804 | & F.C.A. Oliveira
1827 | & F.C.A. Oliveira
1828 | & F.C.A. Oliveira
1829 | & F.C.A. Oliveira
1830 | & F.C.A. Oliveira
1831 | & D. Alvarenga
1832 | & F.C.A. Oliveira
1833 | & F.C.A. Oliveira
1834 | & F.C.A. Oliveira
1835 | & F.C.A. Oliveira
1836 | & F.C.A. Oliveira
1837 | & F.C.A. Oliveira
1838 | & F.C.A. Oliveira
1839 | & F.C.A. Oliveira
1840 | & F.C.A. Oliveira
1841 | & F.C.A. Oliveira
1842 | & F.C.A. Oliveira
1843 | & F.C.A. Oliveira
1844 | & F.C.A. Oliveira
1845 | & F.C.A. Oliveira
1846 | & D. Alvarenga
1847 | & D. Alvarenga
1848 | & D. Alvarenga
1849 | & D. Alvarenga
1850 | & D. Alvarenga
1851 | & D. Alvarenga
1852 | & D. Alvarenga
1853 | & D. Alvarenga
1854 | & D. Alvarenga
1855 | & D. Alvarenga
1856 | & D. Alvarenga
1857 | & D. Alvarenga
1858 | & D. Alvarenga
1859 | & D. Alvarenga
1860 | & D. Alvarenga
1861 | & D. Alvarenga
1862 | & D. Alvarenga
1863 | & D. Alvarenga
1864 | & D. Alvarenga
1865 | & D. Alvarenga
1866 | & D. Alvarenga
1867 | & D. Alvarenga
1868 | & D. Alvarenga
1869 | & D. Alvarenga
1870 | & D. Alvarenga
1871 | & D. Alvarenga
2071 | & E. Barbosa
2072 | & L.M. Abe
2075 | & E. Barbosa
2076 | & D. Guimarães
2080 | & O.S. Ribas
2081 | & C. Budziak
2082 | & E.F. Costa
2083 | & C.B. Poliquesi
2089 | et al.
2090 | & J.M. Silva
2092 | et al.
2094 | et al.
2095 | et al.
2096 | , R. Spichiger, A.C. Cervi & P.A. Loizeau
2097 | , M. Hatschbach & O.S. Ribas
2098 | et al.
2099 | et al.
2100 | et al.
2101 | et al.
2102 | et al.
2103 | et al.
2104 | et al.
2109 | et al.
2110 | et al.
2111 | et al.
2112 | , M. Hatschbach & O.S. Ribas
2113 | et al.
2114 | et al.
2115 | et al.
2116 | & J. Cordeiro
2118 | & J. Cordeiro
2119 | & J. Cordeiro
2121 | & J. Cordeiro
2125 | & J.M. Cruz
2127 | & J.M. Cruz
2128 | et al.
2129 | et al.
2130 | et al.
2131 | & E. Barboza
2132 | & E. Barbosa
2135 | et al.
2136 | et al.
2137 | et al.
2138 | et al.
2139 | et al.
2140 | & L.B.S. Pereira
2141 | & L.B.S. Pereira
2142 | et al.
2143 | & L.B.S. Pereira
2145 | et al.
2146 | & J.M. Silva
2147 | et al.
2148 | et al.
2149 | et al.
2150 | , L. Sevegnani & J.M. Silva
2151 | , E.F. Costa & J.M. Silva
2152 | et al.
2153 | et al.
2154 | et al.
2155 | et al.
2156 | & J.M. Silva
2157 | et al.
2158 | et al.
2159 | et al.
2160 | F.C. Straube et al.
2161 | , J.M. Silva & E.F. Costa
2162 | et al.
2163 | , C.B. Poliquesi, E. Barbosa, P.Steiner & J. Bordin
2164 | et al.
2165 | & G. Haschbach
2167 | et al.
2169 | et al.
2170 | et al.
2171 | , E. Barbosa & O.S. Ribas
2172 | et al.
2173 | et al.
2174 | et al.
2175 | et al.
2176 | & L.M. Abe
2177 | ; E. Barbosa & L.A. Ferreira
2178 | et al.
2179 | et al.
2180 | O.S. Ribas & J. Cordeiro
2181 | et al.
2183 | et al.
2184 | E. Brabosa & J. Cordeiro
2186 | et al.
2188 | et al.
2189 | et al.
2190 | et al.
2239 | & I.F. Urizzi
2240 | & I.F. Urizzi
2263 | & I.F. Urizzi
2264 | & I.F. Urizzi
2265 | & I.F. Urizzi
2266 | & I.F. Urizzi
2267 | & I.F. Urizzi
2268 | & I.F. Urizzi
2269 | & I.F. Urizzi
2270 | & I.F. Urizzi
2271 | & I.F. Urizzi
2272 | & I.F. Urizzi
2273 | & I.F. Urizzi
2274 | & I.F. Urizzi
2275 | & I.F. Urizzi
2276 | & I.F. Urizzi
2277 | & I.F. Urizzi
2278 | & I.F. Urizzi
2279 | & J.F. Urizzi
2280 | & I.F. Urizzi
2281 | & I.F. Urizzi
2282 | & I.F. Urizzi
2283 | & I.F. Urizzi
3282 | & W.D. Oliveira
3283 | & W.D. Oliveira
3284 | & W.D. Oliveira
3285 | & W.D. Oliveira
3286 | & W.D. Oliveira
3288 | & W.D. Oliveira
3339 | & W.D. Oliveira
3682 | et al.
3683 | et al.
3684 | & A.A. Machado
3685 | et al.
3686 | et al.
3857 | ; F.C.A. Oliveira & E. Cardoso
3858 | et. al.
3859 | ; D. Alvarenga & E. Cardoso
3860 | et al.
3861 | et al.
3863 | , D. Alvarenga & E. Cardoso
3864 | et al.
3865 | et al.
3866 | et al.
3867 | et al.
3868 | et al.
3869 | et al.
3870 | et al.
3871 | et al.
3872 | & G. Nunes de Jesus
3873 | et al.
3874 | ; D. Alvarenga & E. Cardoso
3875 | et al.
3876 | et al.
3877 | et al.
3878 | et al.
3879 | et al.
3880 | et al.
3881 | et al.
3882 | ; F.C.A. Oliveira & E. Cardoso
3883 | et al.
3884 | et al.
3885 | et al.
3886 | & D. Alvarenga
3887 | et al.
3888 | et al.
3889 | ; F.C.A. Oliveira & E. Cardoso
3890 | et al.
3891 | et al.
3892 | et al.
3893 | ; F.C.A. Oliveira & E. Cardoso
3894 | et al.
3895 | et al.
3896 | et al.
3897 | et al.
3898 | et al.
3899 | et al.
3900 | et al.
3901 | et al.
3902 | et al.
3903 | et al.
3904 | & M.L. Fonseca
3905 | & M.L. Fonseca
3906 | , R.F. Haidar, D. Alvarenga & N.R. Oliveira
3908 | ; R.F. Haidar; D. Alvarenga & N.R. Oliveira
3909 | et al.
3910 | ; F.C.A. Oliveira & E. Cardoso
3911 | ; R.C. Mendonça & F.C.A. Oliveira
3912 | et al.
3913 | et al.
3914 | et al.
3915 | et al.
3916 | et al.
3917 | et al.
3918 | et al.
3919 | et al.
3920 | et al.
3921 | et al.
3922 | et al.
3923 | et al.
3924 | et al.
3926 | et al.
3927 | et al.
3928 | et al.
3929 | et al.
3930 | et al.
3933 | et al.
4052 | et al.
4053 | et al.
4054 | et al.
5054 | et al.
5056 | et al.
5060 | et al.
5061 | et al.
5064 | et al.
5065 | et al.
5067 | et al.
5068 | et al.
5070 | et al.
5071 | et al.
5072 | et al.
5075 | et al.
5076 | et al.
5077 | et al.
5078 | et al.
5079 | et al.
5080 | et al.
5081 | & J. Cordeiro
5082 | & J. Cordeiro
5085 | et al.
5086 | et al.
5087 | et al.
5088 | et al.
5089 | et al.
5090 | & J.M. Silva
5092 | et al.
5093 | et al.
5094 | et al.
5096 | et al.
5100 | et al.
5102 | et al.
5104 | et al.
5105 | et al.
5106 | et al.
5109 | et al.
5110 | et al.
5111 | et al.
5112 | & J. Cordeiro
5113 | et al.
5114 | et al.
5115 | et al.
5116 | et al.
5117 | et al.
5118 | et al.
5119 | & J.M. Silva
5121 | et al.
5122 | et al.
5123 | et al.
5124 | et al.
5126 | et al.
5127 | et al.
5128 | et al.
5129 | & J.M. Silva
5130 | et al.
5131 | et al.
5132 | et al.
5136 | et al.
5137 | et al.
5138 | et al.
5139 | et al.
5141 | et al.
5142 | et al.
5143 | et al.
5144 | et al.
5145 | et al.
5146 | et al.
5147 | et al.
5148 | et al.
5149 | et al.
5151 | et al.
5152 | et al.
5153 | et al.
5154 | et al.
5155 | et al.
5156 | et al.
5157 | et al.
5158 | et al.
5159 | et al.
5160 | et al.
5161 | et al.
5162 | et al.
5163 | et al.
5164 | et al.
5165 | & L.M. Abe
5167 | et al.
5168 | et al.
5169 | et al.
5171 | & J.M. Silva
5172 | et al.
5176 | ; E. Melo & S.M. Silva
5178 | et al.
5179 | & E. Barbosa
5181 | et al.
5182 | et al.
5183 | et al.
5184 | et al.
5185 | et al.
5186 | & J.M. Cruz
5188 | et al.
5189 | et al.
5190 | et al.
5191 | et al.
5193 | et al.
5194 | et al.
5195 | et al.
5196 | et al.
5198 | et al.
5375 | & E. Barbosa
5376 | , W. Wasum & L. Scur
5378 | J.M. Silva
5380 | B. Mehlhaff
5381 | & G. Hatschbach
5382 | , J.M. Silva & C.C.A. Andrade
5383 | & J.M. Silva
5384 | & J.M. Silva
5386 | , E. Barbosa & L.A. Ferreira
5387 | & F. Marinero
5389 | & J.M. Silva
5390 | R. Goldenberg & F. Michelangeli
5391 | , J.M. Silva & C.C.A. Andrade
5392 | , J. Cordeiro, J.M. Silva & F. Marinero
5393 | , M. Hatschbach & E. Barbosa
5394 | ,A.C. Cervi & E. Barbosa
5395 | & J.M. Silva
5396 | , O.S. Ribas & M.R. Bornschein
5397 | , M. Hatscbach & E. Barbosa
5398 | & E.M. Cunha
5399 | , J.M. Silva & C.C.A. Andrade
5400 | , M. Hatschbach & O.S. Ribas
5401 | , J.M. Silva & C.C.A. Andrade
5402 | & J. Cordeiro
5404 | , M. Hatschbach & J.M. Silva
5405 | , F.C. Straube & A. Urben-Filho
5406 | & F. Marinero
5408 | & J.M. Silva
5409 | & J.M. Silva
5411 | & J.M. Silva
5412 | & L.B.S. Pereira
5414 | & J.M. Silva
5415 | , R. Wasum & L. Scur
5416 | , A.C. Cervi & E. Barbosa
5417 | & J.M. Silva
5418 | & E. Barbosa
5419 | & E. Barbosa
5421 | , M. Hatschbach & E. Barbosa
5422 | & J.M. Silva
5423 | & J.M. Silva
5424 | , M. Hatschbach & J.M. Silva
5425 | , E. Barbosa, O.S. Ribas & E.F. Costa
5426 | & F. Marinero
5427 | & E. Barbosa
5428 | & E. Barbosa
5429 | , M. Hatschbach & E. Barbosa
5430 | , O.S. Ribas & L.R. Lima
5431 | , A.C. Cervi & E. Barbosa
5432 | , M. Hatschbach & J.M. Silva
5433 | & J. Cordeiro
5434 | & J. Cordeiro
5436 | , A.C. Cervi & E. Barbosa
5437 | & J. Cordeiro
5438 | & O.P. Kozera
5439 | , M. Hatschbach & E. Barbosa
5440 | et al.
5441 | , D. Sampaio & A.P.S. Coutinho
5442 | & L.M. Abe
5443 | et al.
5444 | , E. Barbosa & E.F. Costa
5445 | , O.S. Ribas, E.M. Cunha & A.S. Costa
5446 | , M. Hatschbach
5463 | & A.R. Silva;
5464 | & A.R. Silva
5465 | & M.G. Caxambu
5466 | & M.G. Caxambu
5467 | & A.R. Silva
5468 | & A.R. Silva
5469 | & A.R. Silva
5470 | & A.R. Silva
5471 | & A.R. Silva
5473 | & A.R. Silva
5475 | & A.R. Silva
5476 | & A.R. Silva
5477 | & A.R. Silva
5478 | & A.R. Silva
5479 | & A.R. Silva
5480 | & A.R. Silva
5481 | & A.R. Silva
5519 | & A.R. Silva
5520 | & M.G. Caxambu
5521 | & M.G. Caxambu
5522 | & M.G. Caxambu
5523 | & A.R. Silva
5524 | & A.R. Silva
5525 | & A.R. Silva
5526 | & A.R. Silva
5527 | & A.R. Silva
5528 | & A.R. Silva
5529 | & M.G. Caxambu
5530 | & A.R. Silva
5531 | & A.R. Silva
5532 | & A.R. Silva
5533 | & M.G. Caxambu
5534 | & A.R. Silva
5535 | & M.G. Caxambu
5536 | & M.G. Caxambu
5537 | & M.G. Caxambu
5538 | & M.G. Caxambu
5539 | & M.G. Caxambu
5540 | & A.R. Silva
5541 | & A.R. Silva
5542 | & M.G. Caxambu
5543 | & M.G. Caxambu
5544 | & A.R. Silva
5545 | & M.G. Caxambu
5546 | & M.G. Caxambu
5547 | & A.R. Silva
5548 | & A.R. Silva
5549 | & A.R. Silva
5550 | & A.R. Silva
5551 | & M.G. Caxambu
5552 | & A.R. Silva
5553 | & A.R. Silva
5554 | & M.G. Caxambu
5555 | & M.G. Caxambu
5556 | & A.R. Silva
5557 | & A.R. Silva
5558 | & M.G. Caxambu
5559 | & A.R. Silva
5560 | & M.G. Caxambu
5561 | & M.G. Caxambu
5562 | & A.R. Silva
5563 | & M.G. Caxambu
5564 | & A.R. Silva
5565 | & M.G. Caxambu
5566 | & A.R. Silva
5567 | & M.G. caxambu
5568 | & A.R. Silva
5569 | & A.R. Silva
5570 | & A.R. Silva
5571 | & A.R. Silva
5572 | & M.G. Caxambu
5573 | & M.G. Caxambu
5574 | & A.R. Silva
5575 | & A.R. Silva
5576 | & A.R. Silva
5577 | & M.G. Caxambu
5578 | & M.G. Caxambu
5579 | & M.G. Caxambu
5580 | & M.G. Caxambu
5581 | & A.R. Silva
5582 | & A.R. Silva
5583 | & A.R. Silva
5584 | & M.G. Caxambu
5585 | & A.R. Silva
5586 | & A.R. Silva
5587 | & A.R. Silva
5588 | & M.G. Caxambu
5589 | & M.G. Caxambu
5590 | & A.R. Silva
5591 | & M.G. Caxambu
5592 | & A.R. Silva
5593 | & A.R. Silva
5594 | & M.G. Caxambu
5595 | & M.G. Caxambu
5596 | & A.R. Silva
5597 | & M.G. Caxambu
5598 | & M.G. Caxambu
5599 | & A.R. Silva
5600 | & A.R. Silva
5601 | & A.R. Silva
5602 | & A.R. Silva
5603 | & M.G. Caxambu
5604 | & M.G. Caxambu
5605 | & A.R. Silva
5606 | & A.R. Silva
5607 | & A.R. Silva
5608 | & A.R. Silva
5609 | &. M.G. Caxambu
5610 | &. M.G. Caxambu
5611 | & A.R. Silva
5612 | & A.R. Silva
5613 | &. M.G. Caxambu
5614 | & A.R. Silva
5615 | & A.R. Silva
5616 | & M.G. Caxambu
5617 | & A.R. Silva
5618 | & A.R. Silva
5619 | &. M.G. Caxambu
5620 | &. M.G. Caxambu
5621 | & A.R. Silva
5622 | & A.R. Silva
5623 | & A.R. Silva
5624 | & M.G. Caxambu
5625 | &. M.G. Caxambu
5626 | & A.R. Silva
5627 | &. M.G. Caxambu
5628 | &. M.G. Caxambu
5629 | & A.R. Silva
5630 | &. M.G. Caxambu
5631 | &. M.G. Caxambu
5632 | & A.R. Silva
5633 | &. M.G. Caxambu
5634 | &. M.G. Caxambu
5635 | & A.R. Silva
5636 | & A.R. Silva
5637 | & A.R. Silva
5638 | & A.R. Silva
5639 | & A.R. Silva
5640 | & A.R. Silva
5641 | & A.R. Silva
5642 | & M.G. Caxambu
5643 | & A.R. Silva
5644 | & A.R. Silva
5645 | & A.R. Silva
5646 | & M.G. Caxambu
5647 | & A.R. Silva
5648 | & A.R. Silva
5649 | & A.R. Silva
5650 | & A.R. Silva
5651 | & A.R. Silva
5652 | & A.R. Silva
5653 | & M.G. Caxambu
5654 | & A.R. Silva
5655 | & A.R. Silva
5656 | & A.R. Silva
5657 | & M.G. Caxambu
5658 | & A.R. Silva
5659 | & A.R. Silva
5660 | & A.R. Silva
5661 | & M.G. Caxambu
5662 | & M.G. Caxambu
5663 | & A.R. Silva
5664 | & A.R. Silva
5665 | & A.R. Silva
5666 | & A.R. Silva
5667 | & A.R. Silva
5668 | & A.R. Silva
5669 | & M.G. Caxambu
5670 | & A.R. Silva
5671 | & M.G. Caxambu
5672 | & A.R. Silva
5673 | & M.G. Caxambu
5674 | & A.R. Silva
5675 | & A.R. Silva
5676 | & A.R. Silva
5677 | & A.R. Silva
5678 | & A.R. Silva
5679 | & E.M. Silva
5680 | & E.M. Silva
5681 | & E.M. Silva
5682 | & E.M. Silva
5683 | & E.M. Silva
5684 | & E.M. Silva
5685 | & E.M. Silva
5686 | & E.M. Silva
5687 | & E.M. Silva
5688 | & E.M. Silva
5689 | & E.M. Silva
5690 | & E.M. Silva
5691 | & E.M. Silva
5692 | & E.M. Silva
5693 | & E.M. Silva
5694 | & E.M. Silva
5695 | & E.M. Silva
5696 | & E.M. Silva
5697 | & E.M. Silva
5698 | & E.M. Silva
5699 | & E.M. Silva
5700 | & E.M. Silva
5701 | & E.M. Silva
5702 | & E.M. Silva
5703 | & E.M. Silva
5704 | & E.M. Silva
5705 | & E.M. Silva
5706 | & A.R. Silva
5707 | & A.R. Silva
5708 | & A.R. Silva
5709 | & M.G. Caxambu
5710 | & M.G. Caxambu
5711 | & M.G. Caxambu
5712 | & A.R. Silva
5713 | & A.R. Silva
5714 | & A.R. Silva
5715 | & A.R. Silva
5716 | & M.G. Caxambu
5717 | & A.R. Silva
5718 | & A.R. Silva
5719 | & A.R. Silva
5722 | & M.G. Caxambu
5723 | & A.R. Silva
5724 | & A.R. Silva
5725 | & A.R. Silva
5726 | & A.R. Silva
5727 | & A.R. Silva
5728 | & A.R. Silva
5729 | & A.R. Silva
5730 | & A.R. Silva
5731 | & A.R. Silva
5732 | & A.R. Silva
5733 | & M.G. Caxambu
5734 | & A.R. Silva
5735 | & A.R. Silva
5736 | et al.
5738 | et al.
5742 | et al
5744 | et al
5746 | et al
5748 | & H. Ferreira
5751 | & H. Ferreira
5757 | et al.
5758 | & H. Ferreira
5759 | & H. Ferreira
5760 | & N. Nascimento
5761 | & H. Ferreira
5762 | & H. Ferreira
5763 | & H. Ferreira
5764 | & M. Nascimento
5765 | & H. Ferreira
5766 | et al.
5773 | & H. Ferreira
5777 | & H. Ferreira
5781 | & H. Ferreira
5782 | et al.
5784 | & H. Ferreira
5785 | & E. Silva
5786 | et al.
5787 | et al.
5788 | et al.
5791 | et al.
5792 | ; L.A. Neto & Fábio
5793 | et al.
5794 | et al.
5795 | & H. Ferreira
5797 | ; L.A. Neto & J.E. Silva
5804 | & H. Ferreira
