Tabela,Registros MySQL,Registros PostgreSQL,Status
autores,3717,3717,✅ OK
alteracoes,0,0,✅ OK
cidades,0,0,✅ OK
colecoes_anexas,0,0,✅ OK
coletores,0,0,✅ OK
coletores_complementares,0,0,✅ OK
configuracao,0,0,✅ OK
enderecos,0,0,✅ OK
especies,0,0,✅ OK
estados,0,0,✅ OK
familias,0,0,✅ OK
fase_sucessional,0,0,✅ OK
generos,0,0,✅ OK
herbarios,0,0,✅ OK
historico_acessos,0,0,✅ OK
identificadores,0,0,✅ OK
locais_coleta,0,0,✅ OK
paises,0,0,✅ OK
relevos,0,0,✅ OK
remessas,0,0,✅ OK
retirada_exsiccata_tombos,0,0,✅ OK
solos,0,0,✅ OK
sub_especies,0,0,✅ OK
sub_familias,0,0,✅ OK
telefones,0,0,✅ OK
tipos,0,0,✅ OK
tipos_usuarios,0,0,✅ OK
tombo_alteracoes_antigas,0,0,✅ OK
tombos,0,0,✅ OK
tombos_fotos,0,0,✅ OK
tombos_identificadores,0,0,✅ OK
usuarios,0,0,✅ OK
variedades,0,0,✅ OK
vegetacoes,0,0,✅ OK
