NUM_IDENTIFICADOR | NOME
1 | G. Hatschbach
2 | M.G. Caxambú
3 | A.E. Bianek
4 | H.C.L. Geraldino
5 | A.C. Cervi
6 | J. Cordeiro & E. Barboza
7 | T.S. Nunes
8 | M.L. Fonseca
9 | D.C. Souza
10 | J. Cordeiro & F. Marinero
11 | D.C.V. Cansian
12 | P.J.M.Maas
121 | W. Punt
14 | P. Labiak
15 | F.C.A. Oliveira
16 | E. Roveda
17 | A.R. Smith
18 | M.G.F. Kumakura
19 | E. Cardoso
20 | J.P. Souza
21 | R.C. Mendonça
22 | O.S. Ribas
23 | N.M. Silva
24 | A.R. Silva
25 | C.B. Miranda
26 | S.M. Canto
27 | R.G. Chacon
28 | J. A. Lombardi
29 | J. Cordeiro & O.S. Ribas
30 | R. Y. Hirai
31 | V.C. Souza
32 | L.C. Oliveira
33 | A. Pulido
34 | R. Leandro
35 | C.W. Santos
36 | M. Nee
37 | J.B. Silva
38 | E.G. Paulino
39 | T.R. Silva
40 | J. Cordeiro & B. Biancolini
41 | J.M. Felfili
42 | M.S. Ferrucci
43 | R.P. Mormul
44 | Pirani
45 | C. Pincelli
46 | O.A. Guimarães
47 | R. Mazuchetti
48 | S. Evangelista
49 | I.M. Silva
50 | E.R. Brambilla
51 | A. Fernandes
52 | L. David
53 | V.A de O. Dittrich
54 | T.S. Filgueiras
55 | R.C. Oliveira
56 | S.A. Renvoize
57 | J.F. Stancik
58 | R. Goldenberg
59 | J. Paula-Souza
60 | N. Silveira
61 | P.B. Schwartsburd
62 | J. Cordeiro
63 | Fraga
64 | L.R. Landrum
65 | I. Cordeiro
66 | M. Dematteis
67 | K.T. Rodrigues
68 | W.R. Anderson
69 | K. Yamamoto
70 | R. Kumrow
71 | A. Chautems
72 | M. Sobral
73 | H. Robinson
74 | A.L. Peixoto
75 | A. Rapini
76 | P.G. Delprete
77 | G.P. Lewis
78 | K.E. Rodrigues
79 | J.R. Stehmann
80 | R.G. Udulutsch
81 | C.B. Costa
82 | J.G. Rohwer
83 | C.P. Quinet
84 | E. Barboza
85 | M.F. Freitas
86 | J.R. Pirani
87 | A. Krapovickas
88 | M.L. Kawasaki
89 | S. Atkins
90 | G. Prance
91 | H. van der Werff
92 | J.T. Motta
93 | T.D. Pennington
94 | L.T. Dombrowski
95 | R.M. Britez
96 | S.F. Smith
97 | L.H. Soares-Silva
98 | D.A. Guimarães
99 | C. Proença
100 | S. Chandoha
101 | A.P. Colavite
102 | C. Munhoz
103 | M. Borgo
104 | J. Ziffer Berger
105 | L. Menini Neto
106 | R.C. Secco
107 | F. Marinero
108 | G.S. Salvador
109 | W. Foster
110 | R.M. Silva
111 | N.S. Chukr
112 | R.R. Silva
113 | E. Melo
114 | C. Kozera
115 | D. Wasshausen
116 | A. Lobão
117 | A. Salino
118 | C. Jascone
119 | D. Monteiro
120 | D.C. Zappi
122 | M.B.R. Caruzo
123 | G.L. Webster
124 | R. Marquete
125 | S.E. Gomes
126 | C.A. Ercoli
127 | L.A. Mentz
128 | M. Vignoli-Silva
129 | R.M. Harley
136 | R.M. de Carvalho-Okano
131 | R. Trevisan
132 | R. Simão-Bianchini
133 | A. Dunaiski Jr.
137 | B.A.S. Pereira
135 | A.C. Araújo
138 | H.C. de Lima
139 | P.E. Nogueira
140 | A. Vaz
141 | A.A. Ferreira
142 | J.P. Poyer et al
