id,cidade_fb,uf_resolvida
525,Colônia San Lázaro,
1328,Grisons,
1329,Parada Nueva - Depto de Montevideo,
1331,"Cerro, Departamento de Montevideo",
1332,San José- Departamento de San José,
1361,Puerto Isabel,
1399,,MT
1418,,MT
1715,,MT
1716,,MT
1792,,
1793,Provincia de Catamarca,
1796,Depto Rio Cuarto - Córdoba,
1798,Corrientes,
1799,Córdoba,
1801,Córdoba,
1805,,
1806,,
1807,,
1808,,
1809,,
1811,,
1812,,
1813,,
1814,,
1815,,
1816,,
1817,,
1818,,
1819,,
1820,,
1821,,
1822,,
1823,,
1870,MIsiones (Parque Prov. Urugua-í),
1871,Ambato,
1872,Rio Primeiro,
1875,Ambato,
1877,Punilla-Província de Cordoba,
1904,Córdoba,
1905,"Departamento Punilla, Província Córdoba",
1906,Córdoba,
1907,"Departamento Rio Segundo, Prov. Córdoba",
1914,"Depto. de Juarez Celman, Prov. deCórdoba",
1918,,MT
1958,,
1959,Capital. Provincia de Catamarca,
1960,Depto General Roca. Prov. Córdoba,
1961,Córdoba. Depto Rio Primero,
1962,Córdoba. Depto Rio Segundo,
1963,Córdoba. Depto Colón,
1964,Jujuy. Departamento San Pedro,
1965,Córdoba. Depto Pres. Roque Sáenz Peña,
1966,Navarro Co. - Texas,
1967,Córdoba. Depto R. Vera Peñalosa,
1968,Depto de Ambato. Prov. de Catamarca,
1969,Depto de San Martin. Prov. San Luis,
1970,Depto San Javier. Prov. de Córdoba,
2335,,ES
2545,Depto. Santa Cruz,
2550,Pedro Juan Cabalero,
2636,,
2688,Bavaria,
2690,Arizona - Maricopa County,
2691,New Mexico - Hidalgo County,
2692,Arizona - Maricopa County,
2693,New South Wales,
2694,Centro Sur,
2747,Secilia - Messina,
2748,Avila,
2749,"Cerdeña, Oristano",
2750,Badajoz - Medellín,
2770,"Niederösterreich, Thermenlinie",
2771,Arizona - Maricopa County,
2774,Tropenstation La Gamba,
2784,"Niederösterreich, Thermenlinie",
2796,"Ciudad Real, Retuerta del Bullaque",
2802,,
2803,,
2807,"Lower Austria, Thermenlinie",
2842,Córdoba - Departamento de Colón,
2843,Avlona (Kantari),
2855,Hopelchén,
2856,Córdoba - Departamento de Punilla,
2857,Arizona - Maricopa County,
2858,Córdoba - Departamento de Rio Segundo,
2860,Córdoba - Departamento de Santa Maria,
2861,Córdoba - Departamento de Punilla,
2862,Córdoba - Departamento de Punilla,
2863,Catamarca - Departamento de Andalgala,
2864,Córdoba - Província de Punilla,
2865,Córdoba - Província de Córdoba,
2866,Córdoba - Província de Colon,
2867,Santa Fé - Departamento de San Martín,
2895,"Porto Santo, puerto",
2969,"Niederösterreich, Gösllinger Alpen",
2970,"Niederösterreich, Thermenlinie,",
2999,Departamento Rocha,
3024,Corrientes,
3028,Córdoba,
3029,Provincia de La Rioja,
3356,Saint Just et Vacquières (Gard),
3397,Rio Negro,
3484,Pedro Juan Caballero,
3522,Misiones - Depto Apóstoles,
3530,"Shanting County, Shandong Province",
3532,Ulm - State of Baden-Württemberg,
3538,Córdoba/ Departamento Rio Segundo,
3546,San Juan: Depto. Caucete,
3547,Córdoba: Depto de Colón,
3662,"IV Región, La Serena",
3932,Distrito de Belén,
4030,"Loreto, Maynas",
4158,San José de Maipo,
4505,Ocosingo - Chiapas,
4619,"Tucumán, Tafi del Valle",
4633,"Coatepec, Veracruz",
4663,Lapônia,
4736,"Waitemata County, North Island",
4751,Erlangen - Baviera,
4752,Depto de Santa Bárbara-Prov. de Jujuy,
4773,Ciudad del Carmen-Campeche,
4777,Prescott - Yavapai County,
4780,"Córdoba, Dep. Capital, Ciudad de Córdoba",
4781,"Niederösterreich, Hainburger Berge",
4783,"Colon, Entre Rios",
4784,Al Hauoz,
4785,Calakmul - Campeche,
4796,José Maria Morelos - Quintana Roo,
4797,Calakmul - Campeche,
4807,Departamento La Paz/ Província Murillo,
4842,"Departamento Punilla, Córdoba",
4843,Navarro County,
4844,San Matín Peras,
4849,Depto Candelária/ Provincia Misiones,
4860,Presidio County/Lajitas Canyon,
4865,Arizona - Maricopa County,
4866,Jujuy/ Departamento Ledesma,
4870,Província Corrientes/Depto Mburucuyá,
4874,Província de Salta/Depto de Caldera,
4900,Alto Paraná-Hernandarias,
4902,Alto Paraná-Hernandarias,
4911,Concepción-Concepción,
4917,Canindeyú-Salto del Guairá,
4928,,PR
4932,"Canindeyú, Salto de Guairá",
5187,Departamento San Cosme Prov. Corrientes,
5190,,
5210,Província de Magallanes,
5244,Córdoba/ Departamento de Cólon,
5322,Dep. Santo Tomé/ Prov. Corrientes,
5330,"El Corozo, Estado Barinas",
5347,Depto Paraguarí/ 35 Km N of Caapucu,
5351,Viena,
5353,"Corrientes, Mburucuyá",
5357,"Waitemata County, North Island",
5360,"Región de Múrcia, costa del Mar Menor",
5378,Provincia de Hunan/Yizhang County,
5421,Calakmul-Campeche,
5448,Lech,
5641,Oaxaca,
5788,Venezuela,
5870,Córdoba,
5871,Córdoba,
5881,"Provincia de Chaco, Quitilipi",
5892,Corrientes,
6672,Departamento de Rocha,
7098,Meander Valley-Tasmania,
