id,cidade,uf
16,Brejo São Mateus,GO
18,Brejo São Mateus,GO
123,Porto Iguazú,MI
160,Parque Nacional de Ilha Grande,MS
250,Alto Palmital,PR
288,Bourbonia,PR
289,Bourbônia,PR
305,Pico do Itacolomi,MG
352,Garuva,PR
361,Mocambinho,BA
405,Pericó,SC
445,Cocalzinho,GO
472,Ilha Carióca,PR
473,Ilha Grande,MS
474,Porto Figueira,PR
520,Rio Verde,MS
550,Santo Inácio,SP
591,Bataguaçu,MS
598,Novo Eldorado,MT
601,SESC Pantanal,MT
611,Bataguaçu,MS
615,estrada da Cascata-Água Boa.,MT
619,Bataguaçu,MS
631,Porto Figueira,PR
634,Flores,GO
635,Flores,GO
677,Flores,GO
723,Alto Paraíso-Cruzeiro,GO
732,Oliveira dos Brejinhos,PR
733,Barra do Sul,SC
740,Cocalzinho,GO
812,Piraputanga,MS
829,Rio Verde,MS
832,Piraputanga,MS
833,Piraputanga,MS
835,Piraputanga,MS
836,Piraputanga,MS
837,Piraputanga,MS
840,Piraputanga,MS
843,Piraputanga,MS
852,?,MS
866,Piraputanga,MS
868,?,MS
946,Conceição da Barra,BA
1021,Alvorada do Tocantins,TO
1039,América de Campos,SP
1203,Ilha Floresta,MS
1215,Barra dos Bugres,MT
1321,Curupira,MT
1350,Chapada Diamantina,BA
1354,Itapema do Norte,SC
1396,Livramento,MT
1398,São José do Couto,MT
1576,Ivailândia,PR
1579,Ivailândia,PR
1683,Foz do Areia,PR
1700,São Francisco do Sul,PR
1711,Iguatemi,PR
1717,Córrego do Retiro,MT
1751,Garuva,PR
1788,Piemonte da Diamantina,BA
1789,Piemonte da Diamantina,BA
1790,Raso da Catarina,BA
1826,Garuva,PR
1883,São João Del Rey,MG
1909,Subaúma,BA
1911,Campina Grande do Sul.,PR
2016,Flor da Serra do Sul,SC
2019,Harval do Sul,RS
2023,Uruguainana,RS
2038,Porto Camargo,PR
2102,Piemonte da Diamantina,BA
2103,Piemonte da Diamantina,BA
2198,Santa Terezinha,RS
2411,Lapa,BR
2436,Timbó do Sul,SC
2475,Chapada Diamantina,BA
2513,Joaquim Felício,PR
2548,Realeza,MG
2570,Goianópolis,GO
2582,Presidente Soares,MG
2653,Olivença,BA
2686,Pirabeiraba,SC
2758,Garuva,PR
2764,Rio Brilhante,MT
2826,Franscisco Dumont,MG
2829,Caetité,PR
2831,Itaúnas,ES
2900,Alvorada de Minas,PR
2903,Santa Madalena,RJ
3126,Dom Pedro de Alcântra,RS
3248,Capivari,PR
3301,Mogi-Guaçu,SP
3325,Trinta Réis,MG
3393,Estado do Tocantis,TO
3403,Poços de Calda,MG
3425,Juçari,BA
3438,Marinque,SP
3445,São Fidélix,RJ
3450,Santana do Pirapama,MG
3453,Rio Tibagi (estrada do Café),PR
3456,Conteda,PR
3468,Cachoeira do Pajeú,MG
3481,Vila Alta,PR
3507,Paulo Freitas,PR
3517,Santa Izabel do Ivaí,PR
3582,Santa Terezinha,BA
3584,Santa Terezinha,BA
3592,Matuípe,BA
3603,Cabaceiras do Paraguassu,BA
3664,São Tomé das Letras,MG
3678,Realeza,MG
3685,Serro Negro,SC
3746,Juquiri,RS
3791,Itaberaba,SC
3850,Mariporã,SP
4027,Rancho Alegre do Oeste,PR
4040,Pedro Gomes,PR
4044,Olivença,MG
4108,Condeúbas,BA
4170,Aquidauana,MT
4303,Pérola do Oeste,PR
4307,Joaquim Murtinho,PR
4462,Piracurura,PI
4474,Barapuã,SP
4486,Primavera,PR
4508,Campo Alegre,GO
4513,São José da Aliança,GO
4591,Mocambinho,MG
4652,Corumbá,MT
4658,Corumbá,MT
4661,Pocinhos do Rio Verde,MG
4924,Leblon Régis,SC
5016,São José do Mipibú,RN
5017,São José do Mipibú,RN
5138,Campina Verde,GO
5464,Brazlândia,DF
5470,Brazlândia,DF
5630,Carolina,PA
5734,?,PR
5814,Cingapura,BT
5841,São José do Brarreiro,SP
5891,Dom Pedro de Alcântra,RS
5909,Itapera d'Oeste,PR
6010,Senador Mourão,MG
6031,Felisberto Caldeira,MG
6044,Bombinhas,PR
6066,Mallhada,BA
6155,Lagedo do Tabocal,BA
6172,Itaité,BA
6194,São Francisco do Sul,PR
6310,Moinhos do Sul,RS
6327,Campo Novo,RO
6328,Itapuã do Oeste.,RP
6361,Urataí,GO
6424,Cachoeiro do Itapemirim,ES
6466,Venta Nova do Imigrante,ES
6539,Buritizeiro,MB
6579,Antonia,PR
6618,Porto Esperidião,MS
6655,Assis Chateubriand,PR
6839,Timbó do Sul,RS
6910,Nova Laranjeira,PR
7084,?,MG
7155,Caratinga,PR
7173,Guaratba,PR
