id,cidade_fb,uf_resolvida
1,Moreira Sales,PR
2,Campo Mourão,PR
3,Tuneiras do Oeste,PR
4,Campo Mourão,PR
5,Campo Mourão,PR
6,Campo Mourão,PR
7,Campo Mourão,PR
8,Campo Mourão,PR
9,Bombinhas,SC
10,Bocaiúva do Sul,PR
11,Bombinhas,SC
12,Campo Mourão,PR
13,Peabiru,PR
14,Vila Propício,GO
15,Araruna,PR
16,Brejo São Mateus,GO
17,Campo Mourão,PR
18,Brejo São Mateus,GO
19,Campo Mourão,PR
20,Engenheiro Beltrão,PR
21,Palmeira,PR
22,Peabiru,PR
23,Farol,PR
24,Cianorte,PR
25,Campo Mourão,PR
27,Campina da Lagoa,PR
28,Campo Mourão,PR
29,Vila Propício,GO
30,Santa Quitéria do Maranhão,MA
31,Boa Esperança,MG
32,Boa Esperança,MG
33,Colinas do Sul,GO
34,Vila Propício,GO
35,Colinas do Sul,GO
36,Morretes,PR
37,Correntina,BA
38,Jandaia do Sul,PR
39,Morretes,PR
40,Luiziana,PR
41,Piraquara,PR
42,Curitiba,PR
43,Pitanga,PR
44,São Pedro do Ivaí,PR
45,Campo Mourão,PR
46,Peabiru,PR
47,Guarapuava,PR
48,Campo Mourão,PR
49,Morretes,PR
50,Campo Mourão,PR
51,Lidianópolis,PR
52,Moreira Sales,PR
53,Campo Mourão,PR
54,Porto Rico,PR
55,Engenheiro Beltrão,PR
56,Campo Mourão,PR
57,Campo Mourão,PR
58,Brasília,DF
59,Pontal do Paraná,PR
60,Pontal do Paraná,PR
61,Campo Alegre,SC
62,Pitanga,PR
63,Campo Mourão,PR
64,Vera Cruz do Oeste,PR
65,Farol,PR
66,Campo Mourão,PR
67,Pontal do Paraná,PR
68,Boa Esperança,MG
69,Janiópolis,PR
70,Janiópolis,PR
71,Campo Mourão,PR
72,Ubiratã,PR
73,Campo Mourão,PR
74,Guaraqueçaba,PR
75,Corumbataí do Sul,PR
76,São Francisco de Paula,RS
77,Riozinho,RS
78,Maquiné,RS
79,Florianópolis,SC
80,Bombinhas,SC
81,Vera Cruz do Oeste,PR
82,Itanhaém,SP
83,Itaju,SP
84,Curitiba,PR
85,Campo Mourão,PR
86,Brasília,DF
87,Colinas do Sul,GO
88,Brasília,DF
89,Colinas do Sul,GO
90,Itaquiraí,MS
91,Piraquara,PR
92,Tuneiras do Oeste,PR
93,Quatro Barras,PR
94,Pitanga,PR
95,Luiziana,PR
96,Mamborê,PR
97,Corumbataí do Sul,PR
98,Corumbataí do Sul,PR
99,Flores de Goiás,GO
100,Loanda,PR
101,Goioerê,PR
102,Campo Mourão,PR
103,Céu Azul,PR
104,Engenheiro Beltrão,PR
105,Janiópolis,PR
106,Campo Mourão,PR
107,Campina Grande do Sul,PR
108,Morretes,PR
109,Campina Grande do Sul,PR
110,Moreira Sales,PR
111,Campo Mourão,PR
112,Goioerê,PR
113,Engenheiro Beltrão,PR
114,Engenheiro Beltrão,PR
115,Goioerê,PR
116,Sapucaia,PA
117,Campo Mourão,PR
118,Engenheiro Beltrão,PR
119,Campina da Lagoa,PR
120,Mamborê,PR
121,Farol,PR
122,Roncador,PR
123,Porto Iguazú,MI
124,Peabiru,PR
125,Fênix,PR
126,Araruna,PR
127,Luiziana,PR
128,Peabiru,PR
129,Engenheiro Beltrão,PR
130,Marialva,PR
131,Telêmaco Borba,PR
132,Araruna,PR
133,Coronel Martins,SC
134,Roncador,PR
135,Campo Mourão,PR
136,Ubiratã,PR
137,Campo Mourão,PR
138,Janiópolis,PR
139,Luiziana,PR
140,Jaraguá do Sul,SC
141,Santo Antônio do Sudoeste,PR
142,Ubiratã,PR
143,Moreira Sales,PR
144,Araruna,PR
145,Francisco Beltrão,PR
146,Paiçandu,PR
147,Corumbataí do Sul,PR
148,Piraquara,PR
149,Piên,PR
150,Luiziana,PR
151,Teixeira Soares,PR
152,Adrianópolis,PR
153,Foz do Iguaçu,PR
154,Campo Mourão,PR
155,Medianeira,PR
156,Jaguariaíva,PR
157,Campo Mourão,PR
158,Quinta do Sol,PR
159,Santa Isabel do Ivaí,PR
160,Parque Nacional de Ilha Grande,MS
161,Mamborê,PR
162,Pontal do Paraná,PR
163,Peabiru,PR
164,Campo Mourão,PR
165,Engenheiro Beltrão,PR
166,Foz do Iguaçu,PR
167,Ubiratã,PR
168,Campo Mourão,PR
169,Quarto Centenário,PR
170,Goioerê,PR
171,Luiziana,PR
172,Mangueirinha,PR
173,Campo Mourão,PR
175,Adrianópolis,PR
176,Araruna,PR
177,Ponta Grossa,PR
179,São José dos Pinhais,PR
180,Cavalcante,GO
181,Campo Mourão,PR
182,Moreira Sales,PR
183,Antonina,PR
184,Arinos,MG
185,Brasília,DF
186,Brasília,DF
187,Campo Mourão,PR
188,Cianorte,PR
189,Cianorte,PR
190,Cristália,MG
191,Joaquim Felício,MG
192,Atibaia,SP
193,Almas,TO
194,Campo Mourão,PR
195,Lapa,PR
196,Turvo,PR
197,Santa Luzia,BA
198,Mamborê,PR
199,Iretama,PR
200,Pitanga,PR
201,Campo Mourão,PR
202,Goioerê,PR
203,Goioerê,PR
204,Ribeirão do Pinhal,PR
205,Farol,PR
206,Barbosa Ferraz,PR
207,Dourados,MS
208,Paranaguá,PR
209,Farol,PR
210,Atibaia,SP
211,Campo Mourão,PR
212,Janiópolis,PR
213,Peabiru,PR
214,Janiópolis,PR
215,Cornélio Procópio,PR
216,Medianeira,PR
217,Engenheiro Beltrão,PR
218,Cerro Azul,PR
219,Tuneiras do Oeste,PR
220,Bombinhas,SC
221,Paranaguá,PR
222,Araruna,PR
223,Toledo,PR
224,Farol,PR
225,Mata de São João,BA
226,Campina da Lagoa,PR
227,Boa Esperança,PR
228,Mamborê,PR
229,Arapoti,PR
230,Loanda,PR
231,Cianorte,PR
232,Maringá,PR
233,Terra Roxa,PR
234,Campo Mourão,PR
235,Quinta do Sol,PR
236,Presidente Castelo Branco,PR
237,Moreira Sales,PR
238,Goioerê,PR
239,Araruna,PR
240,Campo Mourão,PR
241,Campo Mourão,PR
242,Campina Grande do Sul,PR
243,Janiópolis,PR
244,Araruna,PR
245,Almas,TO
246,Jaguariaíva,PR
247,Araruna,PR
248,Campina da Lagoa,PR
249,Pirenópolis,GO
250,Alto Palmital,PR
251,Maringá,PR
252,Cianorte,PR
253,Guaratuba,PR
254,Cavalcante,GO
255,São José dos Pinhais,PR
256,Engenheiro Beltrão,PR
257,Corumbataí do Sul,PR
258,Maringá,PR
259,Guarapuava,PR
260,Fênix,PR
261,Moreira Sales,PR
262,Campo Mourão,PR
263,Goiânia,GO
264,Peabiru,PR
265,Campo Mourão,PR
266,Mamborê,PR
267,Batayporã,MS
268,Peabiru,PR
269,Itaquiraí,MS
270,Jacarezinho,PR
271,Mirandópolis,SP
272,Bombinhas,SC
273,Cavalcante,GO
274,Teresina de Goiás,GO
275,Arroio Grande,RS
276,Colinas do Sul,GO
277,Telêmaco Borba,PR
278,Campo Mourão,PR
279,Atibaia,SP
280,Cavalcante,GO
281,Goianápolis,GO
282,Roncador,PR
284,Tijucas do Sul,PR
285,Ponta Grossa,PR
286,Sapucaia,PA
287,Corumbataí do Sul,PR
288,Bourbonia,PR
289,Bourbônia,PR
290,Luiziana,PR
291,Boa Esperança,MG
292,Nova Tebas,PR
293,Imbaú,PR
294,Corumbataí do Sul,PR
295,Corumbataí do Sul,PR
296,Quatro Barras,PR
297,Farol,PR
298,Peabiru,PR
299,Teresina de Goiás,GO
300,Niquelândia,GO
301,Teresina de Goiás,GO
302,Engenheiro Beltrão,PR
303,Campo Mourão,PR
304,Brasília,DF
