NUM_TOMBO | SEQUENCIA | CAMINHO | FOTO | DESCRICAO
1537 | 1 | C:\Documents and Settings\herbario\Meus documentos\Minhas figuras\Gesneriaceae\Sinningia macropoda (Sprag.) H.E. Moore _ hábito.JPG | <fdb.fbcore.BlobReader object at 0x71340ab94430> | flores_1
6050 | 1 | D:\Minhas figuras\Acanthaceae\Beloperone sp._Minas_1.JPG | <fdb.fbcore.BlobReader object at 0x71340ab94460> | Flor_detalhe
6050 | 2 | D:\Minhas figuras\Acanthaceae\Beloperone sp._Minas_2.JPG | <fdb.fbcore.BlobReader object at 0x71340ab94490> | Flor_detalhe2
6544 | 1 | D:\Minhas figuras\Acanthaceae\Mendoncia puberula (Mart.) Ness._fruto.JPG | <fdb.fbcore.BlobReader object at 0x71340ab944c0> | frutos
4218 | 1 | D:\Minhas figuras\Acanthaceae\Ruelli puri (Nees.) Mart. ex Jacks._flor.JPG | <fdb.fbcore.BlobReader object at 0x71340ab944f0> | Flores
2826 | 1 | D:\Minhas figuras\Alstroemeriaceae\PICT0001.JPG | <fdb.fbcore.BlobReader object at 0x71340ab94520> | Flor_detalhe
2826 | 2 | D:\Minhas figuras\Alstroemeriaceae\Bomarea edulis (Tuss.) Herb._flores.JPG | <fdb.fbcore.BlobReader object at 0x71340ab94550> | Flores
7150 | 1 | D:\Minhas figuras\Aristolochiaceae\Aristolochia gigantea Mart. et Zucc._detalhe_flor.JPG | <fdb.fbcore.BlobReader object at 0x71340ab94580> | Flor_detalhe
7150 | 2 | D:\Minhas figuras\Aristolochiaceae\Aristolochia gigantea Mart. et Zucc._flores.JPG | <fdb.fbcore.BlobReader object at 0x71340ab945b0> | Flores
4870 | 1 | D:\Minhas figuras\Aristolochiaceae\Aristolochia elegansMast. (1).JPG | <fdb.fbcore.BlobReader object at 0x71340ab945e0> | Flor_frente
4870 | 2 | D:\Minhas figuras\Aristolochiaceae\Aristolochia elegans Mast. (2).JPG | <fdb.fbcore.BlobReader object at 0x71340ab94610> | Flor_lado
4339 | 1 | D:\Minhas figuras\Aristolochiaceae\Aristolochia galeata Mart. & Zucc..JPG | <fdb.fbcore.BlobReader object at 0x71340ab94640> | Flor_frente
55 | 1 | D:\Minhas figuras\Bignoniaceae\Pyrostegia venusta (Ker Grawl) Miers_hábito.JPG | <fdb.fbcore.BlobReader object at 0x71340ab94670> | habito
3935 | 1 | D:\Minhas figuras\Bignoniaceae\Cybistax antisyphilitica (Mat.) Mart ex DC._flor1.JPG | <fdb.fbcore.BlobReader object at 0x71340ab946a0> | Flor_detalhe
1217 | 1 | D:\Minhas figuras\Bignoniaceae\Zeyera montana Mart..JPG | <fdb.fbcore.BlobReader object at 0x71340ab946d0> | Flor
1217 | 2 | D:\Minhas figuras\Bignoniaceae\Zeyheria montana Mart._frutos.JPG | <fdb.fbcore.BlobReader object at 0x71340ab94700> | Frutos
5924 | 1 | D:\Minhas figuras\Bignoniaceae\Jacaranda puberula Cham._1.JPG | <fdb.fbcore.BlobReader object at 0x71340ab94730> | Flores
5924 | 2 | D:\Minhas figuras\Bignoniaceae\Jacaranda puberula Cham._2.JPG | <fdb.fbcore.BlobReader object at 0x71340ab94760> | Flor_frente
