codigo_ibge;municipio;latitude;longitude;capital;codigo_uf;estado;siafi_id;ddd;fuso_horario
5200050;Abadia de Goiás;-167573;-494412;0;52;Goiás;1050;62;America/Sao_Paulo
3100104;Abadia dos Dourados;-184831;-473916;0;31;Minas Gerais;4001;34;America/Sao_Paulo
5200100;Abadiânia;-16197;-487057;0;52;Goiás;9201;62;America/Sao_Paulo
3100203;Abaeté;-191551;-454444;0;31;Minas Gerais;4003;37;America/Sao_Paulo
1500107;Abaetetuba;-172183;-488788;0;15;Pará;401;91;America/Sao_Paulo
2300101;Abaiara;-734588;-390416;0;23;Ceará;1301;88;America/Sao_Paulo
2900108;Abaíra;-132488;-416619;0;29;Bahia;3301;77;America/Sao_Paulo
2900207;Abaré;-872073;-391162;0;29;Bahia;3303;75;America/Sao_Paulo
4100103;Abatiá;-233049;-503133;0;41;Paraná;7401;43;America/Sao_Paulo
4200051;Abdon Batista;-276126;-510233;0;42;Santa Catarina;9939;49;America/Sao_Paulo
1500131;Abel Figueiredo;-495333;-483933;0;15;Pará;375;94;America/Sao_Paulo
4200101;Abelardo Luz;-265716;-523229;0;42;Santa Catarina;8001;49;America/Sao_Paulo
3100302;Abre Campo;-202996;-424743;0;31;Minas Gerais;4005;31;America/Sao_Paulo
2600054;Abreu e Lima;-790072;-348984;0;26;Pernambuco;2631;81;America/Sao_Paulo
1700251;Abreulândia;-962101;-491518;0;17;Tocantins;337;63;America/Sao_Paulo
3100401;Acaiaca;-20359;-431439;0;31;Minas Gerais;4007;31;America/Sao_Paulo
2100055;Açailândia;-494714;-475004;0;21;Maranhão;961;99;America/Sao_Paulo
2900306;Acajutiba;-116575;-380197;0;29;Bahia;3305;75;America/Sao_Paulo
1500206;Acará;-195383;-481985;0;15;Pará;403;91;America/Sao_Paulo
2300150;Acarape;-422083;-387055;0;23;Ceará;1231;85;America/Sao_Paulo
2300200;Acaraú;-288769;-401183;0;23;Ceará;1303;88;America/Sao_Paulo
2400109;Acari;-64282;-366347;0;24;Rio Grande do Norte;1601;84;America/Sao_Paulo
2200053;Acauã;-821954;-410831;0;22;Piauí;266;89;America/Sao_Paulo
4300034;Aceguá;-318665;-541615;0;43;Rio Grande do Sul;1118;53;America/Sao_Paulo
2300309;Acopiara;-608911;-39448;0;23;Ceará;1305;88;America/Sao_Paulo
5100102;Acorizal;-15194;-563632;0;51;Mato Grosso;9001;65;America/Porto_Velho
1200013;Acrelândia;-982581;-668972;0;12;Acre;643;68;America/Rio_Branco
5200134;Acreúna;-17396;-503749;0;52;Goiás;9645;64;America/Sao_Paulo
2400208;Açu;-558362;-36914;0;24;Rio Grande do Norte;1603;84;America/Sao_Paulo
3100500;Açucena;-190671;-425419;0;31;Minas Gerais;4009;33;America/Sao_Paulo
3500105;Adamantina;-21682;-510737;0;35;São Paulo;6101;18;America/Sao_Paulo
5200159;Adelândia;-164127;-501657;0;52;Goiás;9769;64;America/Sao_Paulo
3500204;Adolfo;-212325;-496451;0;35;São Paulo;6103;17;America/Sao_Paulo
4100202;Adrianópolis;-246606;-489922;0;41;Paraná;7403;41;America/Sao_Paulo
2900355;Adustina;-105437;-381113;0;29;Bahia;3253;75;America/Sao_Paulo
2600104;Afogados da Ingazeira;-774312;-37631;0;26;Pernambuco;2301;87;America/Sao_Paulo
2400307;Afonso Bezerra;-549229;-365075;0;24;Rio Grande do Norte;1605;84;America/Sao_Paulo
3200102;Afonso Cláudio;-200778;-411261;0;32;Espírito Santo;5601;27;America/Sao_Paulo
2100105;Afonso Cunha;-413631;-433275;0;21;Maranhão;701;98;America/Sao_Paulo
2600203;Afrânio;-851136;-410095;0;26;Pernambuco;2303;87;America/Sao_Paulo
1500305;Afuá;-154874;-503861;0;15;Pará;405;91;America/Sao_Paulo
2600302;Agrestina;-845966;-359447;0;26;Pernambuco;2305;81;America/Sao_Paulo
2200103;Agricolândia;-579676;-426664;0;22;Piauí;1001;86;America/Sao_Paulo
4200200;Agrolândia;-274087;-49822;0;42;Santa Catarina;8003;47;America/Sao_Paulo
4200309;Agronômica;-272662;-49708;0;42;Santa Catarina;8005;47;America/Sao_Paulo
1500347;Água Azul do Norte;-679053;-504791;0;15;Pará;383;94;America/Sao_Paulo
3100609;Água Boa;-179914;-423806;0;31;Minas Gerais;4011;33;America/Sao_Paulo
5100201;Água Boa;-14051;-521601;0;51;Mato Grosso;9191;66;America/Porto_Velho
2200202;Água Branca;-588856;-42637;0;22;Piauí;1003;86;America/Sao_Paulo
2500106;Água Branca;-751144;-376357;0;25;Paraíba;1901;83;America/Sao_Paulo
2700102;Água Branca;-9262;-37938;0;27;Alagoas;2701;82;America/Sao_Paulo
5000203;Água Clara;-204452;-52879;0;50;Mato Grosso do Sul;9003;67;America/Porto_Velho
3100708;Água Comprida;-200576;-481069;0;31;Minas Gerais;4013;34;America/Sao_Paulo
4200408;Água Doce;-269985;-515528;0;42;Santa Catarina;8007;49;America/Sao_Paulo
2100154;Água Doce do Maranhão;-284048;-421189;0;21;Maranhão;104;98;America/Sao_Paulo
3200169;Água Doce do Norte;-185482;-409854;0;32;Espírito Santo;5717;27;America/Sao_Paulo
2900405;Água Fria;-118618;-387639;0;29;Bahia;3307;75;America/Sao_Paulo
5200175;Água Fria de Goiás;-149778;-477823;0;52;Goiás;9771;62;America/Sao_Paulo
5200209;Água Limpa;-180771;-487603;0;52;Goiás;9203;64;America/Sao_Paulo
2400406;Água Nova;-620351;-382941;0;24;Rio Grande do Norte;1607;84;America/Sao_Paulo
2600401;Água Preta;-870609;-355263;0;26;Pernambuco;2307;81;America/Sao_Paulo
4300059;Água Santa;-281672;-52031;0;43;Rio Grande do Sul;8499;54;America/Sao_Paulo
3500303;Aguaí;-220572;-469735;0;35;São Paulo;6105;19;America/Sao_Paulo
3100807;Aguanil;-209439;-453915;0;31;Minas Gerais;4015;35;America/Sao_Paulo
2600500;Águas Belas;-911125;-371226;0;26;Pernambuco;2309;87;America/Sao_Paulo
3500402;Águas da Prata;-219319;-467176;0;35;São Paulo;6107;19;America/Sao_Paulo
4200507;Águas de Chapecó;-270754;-529808;0;42;Santa Catarina;8009;49;America/Sao_Paulo
3500501;Águas de Lindóia;-224733;-466314;0;35;São Paulo;6109;19;America/Sao_Paulo
3500550;Águas de Santa Bárbara;-228812;-492421;0;35;São Paulo;7019;14;America/Sao_Paulo
3500600;Águas de São Pedro;-225977;-478734;0;35;São Paulo;6111;19;America/Sao_Paulo
3100906;Águas Formosas;-170802;-409384;0;31;Minas Gerais;4017;33;America/Sao_Paulo
4200556;Águas Frias;-268794;-528568;0;42;Santa Catarina;5577;49;America/Sao_Paulo
5200258;Águas Lindas de Goiás;-157617;-482816;0;52;Goiás;1052;61;America/Sao_Paulo
4200606;Águas Mornas;-276963;-488243;0;42;Santa Catarina;8011;48;America/Sao_Paulo
3101003;Águas Vermelhas;-157431;-414571;0;31;Minas Gerais;4019;33;America/Sao_Paulo
4300109;Agudo;-296447;-532515;0;43;Rio Grande do Sul;8501;55;America/Sao_Paulo
3500709;Agudos;-224694;-489863;0;35;São Paulo;6113;14;America/Sao_Paulo
4100301;Agudos do Sul;-259899;-493343;0;41;Paraná;7405;41;America/Sao_Paulo
3200136;Águia Branca;-189846;-407437;0;32;Espírito Santo;5733;27;America/Sao_Paulo
2500205;Aguiar;-70918;-381681;0;25;Paraíba;1903;83;America/Sao_Paulo
1700301;Aguiarnópolis;-655409;-474702;0;17;Tocantins;72;63;America/Sao_Paulo
3101102;Aimorés;-195007;-410746;0;31;Minas Gerais;4021;33;America/Sao_Paulo
2900603;Aiquara;-141269;-398937;0;29;Bahia;3311;73;America/Sao_Paulo
2300408;Aiuaba;-657122;-401178;0;23;Ceará;1307;88;America/Sao_Paulo
3101201;Aiuruoca;-219736;-446042;0;31;Minas Gerais;4023;35;America/Sao_Paulo
4300208;Ajuricaba;-282342;-537757;0;43;Rio Grande do Sul;8503;55;America/Sao_Paulo
3101300;Alagoa;-22171;-446413;0;31;Minas Gerais;4025;35;America/Sao_Paulo
2500304;Alagoa Grande;-703943;-356206;0;25;Paraíba;1905;83;America/Sao_Paulo
2500403;Alagoa Nova;-705377;-357591;0;25;Paraíba;1907;83;America/Sao_Paulo
2500502;Alagoinha;-694657;-355332;0;25;Paraíba;1909;83;America/Sao_Paulo
2600609;Alagoinha;-84665;-367788;0;26;Pernambuco;2311;87;America/Sao_Paulo
2200251;Alagoinha do Piauí;-700039;-409282;0;22;Piauí;9767;89;America/Sao_Paulo
2900702;Alagoinhas;-121335;-384208;0;29;Bahia;3313;75;America/Sao_Paulo
3500758;Alambari;-235503;-47898;0;35;São Paulo;2995;15;America/Sao_Paulo
3101409;Albertina;-222018;-466139;0;31;Minas Gerais;4027;35;America/Sao_Paulo
2100204;Alcântara;-239574;-444062;0;21;Maranhão;703;98;America/Sao_Paulo
2300507;Alcântaras;-358537;-405479;0;23;Ceará;1309;88;America/Sao_Paulo
2500536;Alcantil;-773668;-360511;0;25;Paraíba;440;83;America/Sao_Paulo
5000252;Alcinópolis;-183255;-537042;0;50;Mato Grosso do Sul;141;67;America/Porto_Velho
2900801;Alcobaça;-175195;-392036;0;29;Bahia;3315;73;America/Sao_Paulo
2100303;Aldeias Altas;-462621;-434689;0;21;Maranhão;705;99;America/Sao_Paulo
4300307;Alecrim;-276579;-547649;0;43;Rio Grande do Sul;8505;55;America/Sao_Paulo
