id,nome,codigo_telefone,pais_id,created_at,updated_at
1,"Sant Julia de Loria",06,1,"2019-03-22 00:20:04","2019-03-22 00:20:04"
2,"Andorra la Vella",07,1,"2019-03-22 00:20:04","2019-03-22 00:20:04"
3,"La Massana",04,1,"2019-03-22 00:20:04","2019-03-22 00:20:04"
4,Ordino,05,1,"2019-03-22 00:20:04","2019-03-22 00:20:04"
5,Canillo,02,1,"2019-03-22 00:20:04","2019-03-22 00:20:04"
6,Encamp,03,1,"2019-03-22 00:20:04","2019-03-22 00:20:04"
7,Escaldes-Engordany,08,1,"2019-03-22 00:20:04","2019-03-22 00:20:04"
8,Fujairah,04,2,"2019-03-22 00:20:04","2019-03-22 00:20:04"
9,"Abu Dhabi",01,2,"2019-03-22 00:20:04","2019-03-22 00:20:04"
10,Dubai,03,2,"2019-03-22 00:20:04","2019-03-22 00:20:04"
11,"Ras Al Khaimah",05,2,"2019-03-22 00:20:04","2019-03-22 00:20:04"
12,"Umm Al Quwain",07,2,"2019-03-22 00:20:04","2019-03-22 00:20:04"
13,Sharjah,06,2,"2019-03-22 00:20:04","2019-03-22 00:20:04"
14,Ajman,02,2,"2019-03-22 00:20:04","2019-03-22 00:20:04"
15,Paktika,29,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
16,Farah,06,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
17,Helmand,10,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
18,Kondoz,24,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
19,Bamian,05,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
20,Ghowr,09,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
21,Laghman,35,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
22,,22,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
23,Ghazni,08,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
24,Vardak,27,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
25,Oruzgan,39,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
26,Zabol,28,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
27,Badghis,02,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
28,Badakhshan,01,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
29,Faryab,07,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
30,Takhar,26,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
31,Lowgar,17,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
32,Herat,11,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
33,Daykondi,41,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
34,"Sar-e Pol",33,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
35,Balkh,30,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
36,Kabol,13,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
37,Nimruz,19,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
38,Kandahar,23,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
39,Khowst,37,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
40,,20,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
41,Kapisa,14,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
42,Nangarhar,18,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
43,Samangan,32,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
44,Paktia,36,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
45,Baghlan,03,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
46,Jowzjan,31,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
47,Konar,34,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
48,Nurestan,38,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
49,,16,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
50,,21,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
51,,15,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
52,Panjshir,42,3,"2019-03-22 00:20:04","2019-03-22 00:20:04"
53,"Saint John",04,4,"2019-03-22 00:20:04","2019-03-22 00:20:04"
54,"Saint Paul",06,4,"2019-03-22 00:20:04","2019-03-22 00:20:04"
55,"Saint George",03,4,"2019-03-22 00:20:04","2019-03-22 00:20:04"
56,"Saint Peter",07,4,"2019-03-22 00:20:04","2019-03-22 00:20:04"
