codigo;local;regiao_do_local;cidade;estado;pais
14;"Km 04 da GO-230 Goianésia/ Vila Propício";"Fazenda Caixão";"Município de Vila Propício";GO;Brasil
16;" ";NULL;"Brejo São Mateus";GO;Brasil
18;"brejo perto do macaco";NULL;"Brejo São Mateus";GO;Brasil
30;"Fazenda Marflora";NULL;"Santa Quitéria";MA;Brasil
51;" ";NULL;Lindianópolis;PR;Brasil
54;"Rio Paraná";NULL;"Ilha Mutum";MS;Brasil
58;"Reserva Ecológica do IBGE";NULL;Brasilia;DF;Brasil
59;"Balneário de Monções ";NULL;"Pontal do Paraná ";PR;Brasil
83;"Sítio São Vicente";NULL;Itajú;SP;Brasil
99;"Fazenda Cachoeirama";NULL;Flores;GO;Brasil
113;"Fazenda Regina";NULL;Ivailândia;PR;Brasil
125;"Fazenda Água Azul";NULL;"Quinta do Sol/Fênix";PR;Brasil
153;"Jardim Araucária";NULL;"Foz do Iguaçú";PR;Brasil
159;"Fazenda Santiago II";NULL;"Santa Izabel do Ivaí";PR;Brasil
160;" ";NULL;"Parque Nacional de Ilha Grande";MS;Brasil
250;"Chácara Palmital";NULL;"Alto Palmital";PR;Brasil
267;" ";NULL;Batayporâ;MS;Brasil
288;"Km 35, próximo a Fazenda Santa Cruz";NULL;Bourbonia;PR;Brasil
289;"Fazenda Santa Cruz";NULL;Bourbônia;PR;Brasil
305;"Rodovia de Ouro Preto a Mariana";NULL;"Pico do Itacolomi";MG;Brasil
306;"Passa Vinte";NULL;Bocaiúva;PR;Brasil
352;"Serra do Quiriri";NULL;Garuva;PR;Brasil
361;arredores;NULL;Mocambinho;BA;Brasil
405;arredores;NULL;Pericó;SC;Brasil
407;"Rio São João";NULL;Garuva;PR;Brasil
426;"Praia de Imbituva";NULL;Imbituva;SC;Brasil
445;"1 km da cidade";NULL;Cocalzinho;GO;Brasil
458;" ";NULL;Itajai;SC;Brasil
472;"Rio Paraná";NULL;"Ilha Carióca";PR;Brasil
473;"Parque Nacional de Ilha Grande";NULL;"Ilha Grande";MS;Brasil
474;"Rio Paraná";NULL;"Porto Figueira";PR;Brasil
496;"Campina da Lizeta - Reflorestamento";Klabin;Luiziania;PR;Brasil
505;"Fazenda Thomé";NULL;Guaraniaçú;PR;Brasil
516;arredores;NULL;"São José dos Ausentes";RG;Brasil
520;"Estrada para a Serra da Pimenta";"Recanto das Araras";"Rio Verde";MS;Brasil
550;"próximo ao cemitério";NULL;"Santo Inácio";SP;Brasil
591;"estrada entre Bataguaçu e Brasilândia,";"Fazenda Santa Encarnação";Bataguaçu;MS;Brasil
598;" ";NULL;"Novo Eldorado";MT;Brasil
601;"Fazenda Espírito Santo";NULL;"SESC Pantanal";MT;Brasil
611;"Fazenda Santa Clara";NULL;Bataguaçu;MS;Brasil
615;" ";NULL;"estrada da Cascata-Água Boa.";MT;Brasil
619;"Várzea aluvionar do Rio Paraná";NULL;Bataguaçu;MS;Brasil
620;"Rio Juruena. Boca do Garapé das Almas.";"Proximidades do Lago Belo Montes.";Apiácas;MT;Brasil
631;"Parque Nacional de Ilha Grande";NULL;"Porto Figueira";PR;Brasil
634;"Faz. Cachoeirama, com lagoas naturais";"circundadas por cerrado semi-decíduo";Flores;GO;Brasil
635;"Fazenda Capim Puba (parte da antiga Faz.";"Cachoeirama), Pesqueiro do Adalberto";Flores;GO;Brasil
677;"Fazenda Cachoeirama, estrada de chão de";"Flores a Iaciara,direção do Rio Corrente";Flores;GO;Brasil
711;"Campos do Iguaçu";NULL;"Foz do Iguaçú";PR;Brasil
723;"Parque Nacional Chapada dos Veadeiros";NULL;"Alto Paraíso-Cruzeiro";GO;Brasil
732;"estrada Canabrava a Chapadão de Cima, ";"próximo ao alto da Serra Geral";"Oliveira dos Brejinhos";PR;Brasil
733;arredores;NULL;"Barra do Sul";SC;Brasil
740;"Parque Estadual da Serra dos Pirineus";NULL;Cocalzinho;GO;Brasil
812;"próximo ao acampamento Batista";NULL;Piraputanga;MS;Brasil
821;" ";NULL;Maracajú;MS;Brasil
829;"BR entre o Rio Verde e Coxim";NULL;"Rio Verde";MS;Brasil
832;"Rio Aquidauana";NULL;Piraputanga;MS;Brasil
833;"Fazenda São Benedito";NULL;Piraputanga;MS;Brasil
835;"Fazenda São Benedito, na margem do ";"Córrego das Antas";Piraputanga;MS;Brasil
836;"Próximo da entrada da Associação dos";"Servidores da Junta do Sossego";Piraputanga;MS;Brasil
837;"próximo à estrada";NULL;Piraputanga;MS;Brasil
840;"próximo ao Rancho da Oropa";NULL;Piraputanga;MS;Brasil
843;" ";NULL;Piraputanga;MS;Brasil
852;" ";NULL;?;MS;Brasil
866;"Chácara São Benedito";NULL;Piraputanga;MS;Brasil
868;"Parna, local alagado antes do Dique";NULL;?;MS;Brasil
946;"Parque Estadual de Itaúnas";NULL;"Conceição da Barra";BA;Brasil
1021;"Beira da BR-153";NULL;"Alvorada do Tocantins";TO;Brasil
1039;"Remanescente florestal, Rod. Municipal";"Felix Shumaer Gil";"América de Campos";SP;Brasil
1166;"PR 218, Km 237";NULL;Sabaudia;PR;Brasil
1167;"PR-218, Km 240";NULL;Sabaudia;PR;Brasil
1168;"PR-218, Km 239";NULL;Sabaudia;PR;Brasil
1182;"Praia Laranjeiras - Morro do Teleférico";NULL;"Balneário Camboriu";SC;Brasil
1183;"PR-218, Km 233";NULL;Sabaudia;PR;Brasil
1184;"PR-218, Km 234";NULL;Sabaudia;PR;Brasil
1185;"PR-218, Km 235";NULL;Sabaudia;PR;Brasil
1187;"Parque Natural Municipal Raimundo";Gonçalves;"Balneário Camboriu";SC;Brasil
1188;"Praia do Estaleiro";NULL;"Balneário Camboriu";SC;Brasil
1189;"Praia do Estaleirinho";NULL;"Balneário Camboriu";SC;Brasil
1190;arredores;NULL;Sabaudia;PR;Brasil
1203;"Rio Paraná";NULL;"Ilha Floresta";MS;Brasil
1215;"Fazenda São Pedro";NULL;"Barra dos Bugres";MT;Brasil
1232;"estrada Alessandra Km 15";NULL;Claudia;MT;Brasil
1239;"Rio Tartaruga - borda de mata ciliar";NULL;Claudia;MT;Brasil
1249;"Fazenda Golin";NULL;Claudia;MT;Brasil
1275;Faxina;NULL;"Santa Ana do Livramento";RS;Brasil
1305;"BR 040, Km 3";NULL;"Santo Antônio de Leverger";MT;Brasil
1321;"estrada Jangada-Barra do Bugres,ao longo";"da MT-246";Curupira;MT;Brasil
1327;"próximo ao matadouro";NULL;"Sâo Vicente";SP;Brasil
1328;Guarda;NULL;Grisons;" ";Suiça
1350;"Piatã, caminho para Três Morros, Ponto 4";NULL;"Chapada Diamantina";BA;Brasil
1354;"Balneário Itapema";NULL;"Itapema do Norte";SC;Brasil
1361;"Baía Mandioré";NULL;"Puerto Isabel";" ";Bolívia
1396;"próximo ao córrego Aguaçú";NULL;Livramento;MT;Brasil
1398;"Distrito de Paranatinga - margem esquerd";"do rio Culuene";"São José do Couto";MT;Brasil
1399;"Fazenda Penha";NULL;" ";MT;Brasil
1410;"Morraria de Mimoso";NULL;"Santo Antônio de Leverger";MT;Brasil
1418;"Baía dos Burros, margem do rio";NULL;" ";MT;Brasil
1490;"arredores da Usina da Mata, Fazenda";Jacarezinho;Valparaiso;SP;Brasil
1539;"BR-376 Curitiba-Joinville, pouco depois ";"do posto de guarda";"São José dos PInhais";PR;Brasil
1576;"próximo a ponte sobre o Rio Ivaí";NULL;Ivailândia;PR;Brasil
1579;"vegetação ciliar do Rio Ivaí";NULL;Ivailândia;PR;Brasil
1683;Copel;NULL;"Foz do Areia";PR;Brasil
1700;"Parque Estadual do Acaraí";NULL;"São Francisco do Sul";PR;Brasil
1703;arredores;NULL;Imbituva;SC;Brasil
1706;"Praia da Vila - Dunas";NULL;Imbituva;SC;Brasil
1711;"antiga Fazenda COCAMAR";NULL;Iguatemi;PR;Brasil
1715;"mata ciliar do rio Cuiabá, lado esquerdo";NULL;" ";MT;Brasil
1716;"Fazenda Ecotrópica";NULL;" ";MT;Brasil
1717;" ";NULL;"Córrego do Retiro";MT;Brasil
1751;"estrada de chão Garuva-Cubatão";NULL;Garuva;PR;Brasil
1788;"Morro do Chapéu, Caminho para o Parque";NULL;"Piemonte da Diamantina";BA;Brasil
1789;"Morro do Chapéu, Parque do Morro do";Chapéu;"Piemonte da Diamantina";BA;Brasil
1790;"APA da Serra Branca (Plano de Manejo)";NULL;"Raso da Catarina";BA;Brasil
1826;"Área da COPEL - Rio Cubatão";NULL;Garuva;PR;Brasil
1883;" ";NULL;"São João Del Rey";MG;Brasil
