"genero","especie"
Passiflora,actinia
Passiflora,acuminata
Passiflora,alata
Passiflora,amethystina
Passiflora,auriculata
Passiflora,caerulea
Passiflora,campanulata
Passiflora,capsularis
Passiflora,cervii
Passiflora,cincinnata
Passiflora,coccinea
Passiflora,cristalina
Passiflora,deidamioides
Passiflora,edmundoi
Passiflora,edulis
Passiflora,eichleriana
Passiflora,foetida
Passiflora,garckei
Passiflora,gardneri
Passiflora,gibertii
Passiflora,glandulosa
Passiflora,haematostigma
Passiflora,junqueirae
Passiflora,lepidota
Passiflora,luetzelburgii
Passiflora,mansoi
Passiflora,mediterranea
Passiflora,mendoncaei
Passiflora,miersii
Passiflora,misera
Passiflora,morifolia
Passiflora,nitida
Passiflora,picturata
Passiflora,pohlii
Passiflora,porophylla
Passiflora,racemosa
Passiflora,setulosa
Passiflora,sidifolia
Passiflora,silvestris
Passiflora,suberosa
Passiflora,tenuifila
Passiflora,tricuspis
Passiflora,trintae
Passiflora,urnifolia
Passiflora,vellozoi
Passiflora,villosa
Specklinia,grobyi
Specklinia,marginalis
Litothamnus,nitidus
Crepidomanes,pyxidiferum
Acanthospermum,australe
Acanthospermum,hispidum
Dyssochroma,longipes
Dyssochroma,viridiflorum
Hygrophila,costata
Hygrophila,guianensis
Hypoestes,phyllostachya
Justicia,aequilabris
Justicia,asclepiadea
Justicia,boliviana
Justicia,brandegeeana
Justicia,brasiliana
Justicia,carnea
Justicia,chrysotrichoma
Justicia,comata
Justicia,floribunda
Justicia,gendarussa
Justicia,gilliesii
Justicia,goudotii
Justicia,kleinii
Justicia,laevilinguis
Justicia,lanstyakii
Justicia,lythroides
Justicia,nodicaulis
Justicia,oblonga
Justicia,ramulosa
Justicia,thunbergioides
Justicia,xipotensis
Justicia,sarothroides
Pachystachys,dubiosa
Pachystachys,lutea
Ruellia,affinis
Ruellia,angustiflora
Ruellia,asperula
Ruellia,brevifolia
Ruellia,elegans
Ruellia,epallocaulos
Ruellia,erythropus
Ruellia,exserta
Ruellia,geminiflora
Ruellia,hapalotricha
Ruellia,hygrophila
Ruellia,incomta
Ruellia,jussieuoides
Ruellia,macrantha
Ruellia,multifolia
Ruellia,paniculata
Ruellia,simplex
Ruellia,solitaria
Ruellia,sp.
Ruellia,subsessilis
Sanchezia,oblonga
Sanchezia,parvibracteata
Thunbergia,alata
Thunbergia,cf. fragrans
Thunbergia,erecta
Thunbergia,fragrans
Thunbergia,grandiflora
Thunbergia,laurifolia
Thunbergia,mysorensis
Paepalanthus,albovaginatus 
Paepalanthus,bellus
Paepalanthus,bifidus
Paepalanthus,bromelioides
Paepalanthus,caldensis
Paepalanthus,catharinae
Paepalanthus,chiquitensis
Paepalanthus,dasynema
Paepalanthus,elongatus
Paepalanthus,erectifolius
Paepalanthus,macropodus
Paepalanthus,paulensis
Paepalanthus,pedunculatus
Paepalanthus,planifolius
Paepalanthus,pulvinatus
Paepalanthus,reflexus
Paepalanthus,subtilis
Paepalanthus,tessmannii
Paepalanthus,tortilis
Paepalanthus,trichophyllus
Paepalanthus,vaginatus
Eriocaulon,arechavaletae
Eriocaulon,coniferum
Eriocaulon,crassiscapum
Eriocaulon,ligulatum
Eriocaulon,macrobolax
Eriocaulon,modestum
Echinodorus,aschersonianus
Echinodorus,cylindricus
Echinodorus,glaucus
Echinodorus,grandiflorus
Echinodorus,grisebachii
Echinodorus,longipetalus
Echinodorus,macrophyllus
