codigo,cidade_fb,estado_fb,uf_resolvida,cidade_slug
1,Moreira Sales,PR,PR,moreira sales
2,Campo Mourão,PR,PR,campo mourao
3,Tuneiras do Oeste,PR,PR,tuneiras do oeste
4,Campo Mourão,PR,PR,campo mourao
5,Campo Mourão,PR,PR,campo mourao
6,Campo Mourão,PR,PR,campo mourao
7,Campo Mourão,PR,PR,campo mourao
8,Campo Mourão,PR,PR,campo mourao
9,Bombinhas,SC,SC,bombinhas
10,Bocaiúva do Sul,PR,PR,bocaiuva do sul
11,Bombinhas,SC,SC,bombinhas
12,Campo Mourão,PR,PR,campo mourao
13,Peabiru,PR,PR,peabiru
14,Vila Propício,GO,GO,vila propicio
15,Araruna,PR,PR,araruna
16,Brejo São Mateus,GO,GO,brejo sao mateus
17,Campo Mourão,PR,PR,campo mourao
18,Brejo São Mateus,GO,GO,brejo sao mateus
19,Campo Mourão,PR,PR,campo mourao
20,Engenheiro Beltrão,PR,PR,engenheiro beltrao
21,Palmeira,PR,PR,palmeira
22,Peabiru,PR,PR,peabiru
23,Farol,PR,PR,farol
24,Cianorte,PR,PR,cianorte
25,Campo Mourão,PR,PR,campo mourao
75,Corumbataí do Sul,PR,PR,corumbatai do sul
27,Campina da Lagoa,PR,PR,campina da lagoa
28,Campo Mourão,PR,PR,campo mourao
29,Vila Propício,GO,GO,vila propicio
30,Santa Quitéria do Maranhão,MA,MA,santa quiteria do maranhao
31,Boa Esperança,MG,MG,boa esperanca
32,Boa Esperança,MG,MG,boa esperanca
33,Colinas do Sul,GO,GO,colinas do sul
34,Vila Propício,GO,GO,vila propicio
35,Colinas do Sul,GO,GO,colinas do sul
36,Morretes,PR,PR,morretes
37,Correntina,BA,BA,correntina
38,Jandaia do Sul,PR,PR,jandaia do sul
39,Morretes,PR,PR,morretes
40,Luiziana,PR,PR,luiziana
41,Piraquara,PR,PR,piraquara
42,Curitiba,PR,PR,curitiba
43,Pitanga,PR,PR,pitanga
44,São Pedro do Ivaí,PR,PR,sao pedro do ivai
45,Campo Mourão,PR,PR,campo mourao
46,Peabiru,PR,PR,peabiru
47,Guarapuava,PR,PR,guarapuava
48,Campo Mourão,PR,PR,campo mourao
49,Morretes,PR,PR,morretes
50,Campo Mourão,PR,PR,campo mourao
51,Lidianópolis,PR,PR,lidianopolis
52,Moreira Sales,PR,PR,moreira sales
53,Campo Mourão,PR,PR,campo mourao
54,Porto Rico,PR,PR,porto rico
55,Engenheiro Beltrão,PR,PR,engenheiro beltrao
56,Campo Mourão,PR,PR,campo mourao
57,Campo Mourão,PR,PR,campo mourao
58,Brasília,DF,DF,brasilia
59,Pontal do Paraná,PR,PR,pontal do parana
60,Pontal do Paraná,PR,PR,pontal do parana
61,Campo Alegre,SC,SC,campo alegre
62,Pitanga,PR,PR,pitanga
63,Campo Mourão,PR,PR,campo mourao
64,Vera Cruz do Oeste,PR,PR,vera cruz do oeste
65,Farol,PR,PR,farol
66,Campo Mourão,PR,PR,campo mourao
67,Pontal do Paraná,PR,PR,pontal do parana
68,Boa Esperança,MG,MG,boa esperanca
69,Janiópolis,PR,PR,janiopolis
70,Janiópolis,PR,PR,janiopolis
71,Campo Mourão,PR,PR,campo mourao
72,Ubiratã,PR,PR,ubirata
73,Campo Mourão,PR,PR,campo mourao
74,Guaraqueçaba,PR,PR,guaraquecaba
76,São Francisco de Paula,RS,RS,sao francisco de paula
77,Riozinho,RS,RS,riozinho
78,Maquiné,RS,RS,maquine
79,Florianópolis,SC,SC,florianopolis
80,Bombinhas,SC,SC,bombinhas
81,Vera Cruz do Oeste,PR,PR,vera cruz do oeste
82,Itanhaém,SP,SP,itanhaem
83,Itaju,SP,SP,itaju
84,Curitiba,PR,PR,curitiba
85,Campo Mourão,PR,PR,campo mourao
86,Brasília,DF,DF,brasilia
87,Colinas do Sul,GO,GO,colinas do sul
88,Brasília,DF,DF,brasilia
89,Colinas do Sul,GO,GO,colinas do sul
90,Itaquiraí,MS,MS,itaquirai
91,Piraquara,PR,PR,piraquara
92,Tuneiras do Oeste,PR,PR,tuneiras do oeste
93,Quatro Barras,PR,PR,quatro barras
94,Pitanga,PR,PR,pitanga
95,Luiziana,PR,PR,luiziana
96,Mamborê,PR,PR,mambore
97,Corumbataí do Sul,PR,PR,corumbatai do sul
98,Corumbataí do Sul,PR,PR,corumbatai do sul
99,Flores de Goiás,GO,GO,flores de goias
100,Loanda,PR,PR,loanda
101,Goioerê,PR,PR,goioere
102,Campo Mourão,PR,PR,campo mourao
103,Céu Azul,PR,PR,ceu azul
104,Engenheiro Beltrão,PR,PR,engenheiro beltrao
105,Janiópolis,PR,PR,janiopolis
106,Campo Mourão,PR,PR,campo mourao
107,Campina Grande do Sul,PR,PR,campina grande do sul
108,Morretes,PR,PR,morretes
109,Campina Grande do Sul,PR,PR,campina grande do sul
110,Moreira Sales,PR,PR,moreira sales
111,Campo Mourão,PR,PR,campo mourao
112,Goioerê,PR,PR,goioere
113,Engenheiro Beltrão,PR,PR,engenheiro beltrao
114,Engenheiro Beltrão,PR,PR,engenheiro beltrao
115,Goioerê,PR,PR,goioere
116,Sapucaia,PA,PA,sapucaia
117,Campo Mourão,PR,PR,campo mourao
118,Engenheiro Beltrão,PR,PR,engenheiro beltrao
119,Campina da Lagoa,PR,PR,campina da lagoa
120,Mamborê,PR,PR,mambore
121,Farol,PR,PR,farol
122,Roncador,PR,PR,roncador
123,Porto Iguazú,MI,MI,porto iguazu
124,Peabiru,PR,PR,peabiru
125,Fênix,PR,PR,fenix
126,Araruna,PR,PR,araruna
127,Luiziana,PR,PR,luiziana
128,Peabiru,PR,PR,peabiru
129,Engenheiro Beltrão,PR,PR,engenheiro beltrao
130,Marialva,PR,PR,marialva
